applicationid,payment_internalid,applied_tranids,appliedamount
R-NET-P009-01,NET-P009-01,INV-300901,3491.95
R-NET-P009-02,NET-P009-02,INV-300902,2329.64
R-NET-P009-03,NET-P009-03,INV-300903,4073.1
R-NET-P009-04,NET-P009-04,INV-300904|INV-300905,8686.09
R-NET-P009-05A,NET-P009-05A,INV-300906,2239.13
R-NET-P009-05B,NET-P009-05B,INV-300906,2736.7200000000003
R-NET-P009-07,NET-P009-07,INV-300908,5771.16
R-NET-P009-08,NET-P009-08,INV-300909,5027.51
R-NET-P010-01,NET-P010-01,INV-301001,3704.93
R-NET-P010-02,NET-P010-02,INV-301002,2280.44
R-NET-P010-03,NET-P010-03,INV-301003,4495.8
R-NET-P010-04,NET-P010-04,INV-301004|INV-301005,9250.35
R-NET-P010-05A,NET-P010-05A,INV-301006,2247.0
R-NET-P010-05B,NET-P010-05B,INV-301006,2746.33
R-NET-P010-07,NET-P010-07,INV-301008,5950.48
R-NET-P010-08,NET-P010-08,INV-301009,5628.73
R-NET-P011-01,NET-P011-01,INV-301101,3796.48
R-NET-P011-02,NET-P011-02,INV-301102,2624.24
R-NET-P011-03,NET-P011-03,INV-301103,4317.7
R-NET-P011-04,NET-P011-04,INV-301104|INV-301105,8909.25
R-NET-P011-05A,NET-P011-05A,INV-301106,2315.4
R-NET-P011-05B,NET-P011-05B,INV-301106,2829.94
R-NET-P011-07,NET-P011-07,INV-301108,5976.46
R-NET-P011-08,NET-P011-08,INV-301109,5154.75
R-NET-P012-01,NET-P012-01,INV-301201,4138.47
R-NET-P012-02,NET-P012-02,INV-301202,2539.58
R-NET-P012-03,NET-P012-03,INV-301203,4207.75
R-NET-P012-04,NET-P012-04,INV-301204|INV-301205,9402.130000000001
R-NET-P012-05A,NET-P012-05A,INV-301206,2395.43
R-NET-P012-05B,NET-P012-05B,INV-301206,2927.7400000000002
R-NET-P012-07,NET-P012-07,INV-301208,5791.94
R-NET-P012-08,NET-P012-08,INV-301209,5395.66
R-NET-P013-01,NET-P013-01,INV-301301,4214.7
R-NET-P013-02,NET-P013-02,INV-301302,2563.76
R-NET-P013-03,NET-P013-03,INV-301303,4839.87
R-NET-P013-04,NET-P013-04,INV-301304|INV-301305,10151.55
R-NET-P013-05A,NET-P013-05A,INV-301306,2354.69
R-NET-P013-05B,NET-P013-05B,INV-301306,2877.9599999999996
R-NET-P013-07,NET-P013-07,INV-301308,5879.3
R-NET-P013-08,NET-P013-08,INV-301309,5917.77
R-NET-P014-01,NET-P014-01,INV-301401,4203.68
R-NET-P014-02,NET-P014-02,INV-301402,2586.49
R-NET-P014-03,NET-P014-03,INV-301403,4979.32
R-NET-P014-04,NET-P014-04,INV-301404|INV-301405,10168.95
R-NET-P014-05A,NET-P014-05A,INV-301406,2487.24
R-NET-P014-05B,NET-P014-05B,INV-301406,3039.96
R-NET-P014-07,NET-P014-07,INV-301408,6619.15
R-NET-P014-08,NET-P014-08,INV-301409,5560.57
R-NET-P015-01,NET-P015-01,INV-301501,4443.63
R-NET-P015-02,NET-P015-02,INV-301502,2634.31
R-NET-P015-03,NET-P015-03,INV-301503,5152.94
R-NET-P015-04,NET-P015-04,INV-301504|INV-301505,10585.900000000001
R-NET-P015-05A,NET-P015-05A,INV-301506,2453.67
R-NET-P015-05B,NET-P015-05B,INV-301506,2998.9300000000003
R-NET-P015-07,NET-P015-07,INV-301508,6485.86
R-NET-P015-08,NET-P015-08,INV-301509,5966.58
R-NET-P016-01,NET-P016-01,INV-301601,4376.45
R-NET-P016-02,NET-P016-02,INV-301602,2903.03
R-NET-P016-03,NET-P016-03,INV-301603,4756.19
R-NET-P016-04,NET-P016-04,INV-301604|INV-301605,10756.96
R-NET-P016-05A,NET-P016-05A,INV-301606,2651.8
R-NET-P016-05B,NET-P016-05B,INV-301606,3241.0999999999995
R-NET-P016-07,NET-P016-07,INV-301608,6741.0
R-NET-P016-08,NET-P016-08,INV-301609,6011.54
R-NET-P017-01,NET-P017-01,INV-301701,4963.91
R-NET-P017-02,NET-P017-02,INV-301702,2772.3
R-NET-P017-03,NET-P017-03,INV-301703,5366.37
R-NET-P017-04,NET-P017-04,INV-301704|INV-301705,10704.84
R-NET-P017-05A,NET-P017-05A,INV-301706,2644.1
R-NET-P017-05B,NET-P017-05B,INV-301706,3231.6700000000005
R-NET-P017-07,NET-P017-07,INV-301708,6817.65
R-NET-P017-08,NET-P017-08,INV-301709,6025.85
R-NET-P018-01,NET-P018-01,INV-301801,5098.04
R-NET-P018-02,NET-P018-02,INV-301802,3185.95
R-NET-P018-03,NET-P018-03,INV-301803,5099.2
R-NET-P018-04,NET-P018-04,INV-301804|INV-301805,11126.34
R-NET-P018-05A,NET-P018-05A,INV-301806,2787.02
R-NET-P018-05B,NET-P018-05B,INV-301806,3406.36
R-NET-P018-07,NET-P018-07,INV-301808,6979.08
R-NET-P018-08,NET-P018-08,INV-301809,6424.21
