internalid,entity_internalid,tranid,trandate,duedate,currency,foreigntotal,amountremaining,statusref,testscenario
NET-I003-05,NET-C003,INV-300305,2026-05-02,2026-06-16,USD,3594.7,3594.7,OPEN,MULTI_PAYMENT_ONE_INVOICE
NET-I003-06,NET-C003,INV-300306,2026-05-12,2026-06-26,USD,4087.96,4087.96,OPEN,MISSING_REMITTANCE
NET-I003-07,NET-C003,INV-300307,2026-05-26,2026-07-10,EUR,3726.37,3726.37,OPEN,CURRENCY_TOLERANCE
NET-I003-08,NET-C003,INV-300308,2026-05-30,2026-07-14,USD,4026.69,4026.69,OPEN,SHORT_PAY_DEDUCTION
NET-I003-09,NET-C003,INV-300309,2026-06-07,2026-07-22,USD,4560.18,4560.18,OPEN,UNMATCHED_CASH
NET-I003-10,NET-C003,INV-300310,2026-06-22,2026-08-06,USD,4920.72,4920.72,OPEN,OPEN_PAST_DUE
NET-I003-11,NET-C003,INV-300311,2026-06-26,2026-08-10,USD,4954.23,4954.23,OPEN,BROKEN_PROMISE
NET-I003-12,NET-C003,INV-300312,2026-07-09,2026-08-23,USD,5082.21,5082.21,OPEN,EXACT
NET-I004-01,NET-C004,INV-300401,2026-03-27,2026-04-26,USD,2562.99,2562.99,OPEN,EXACT
NET-I004-02,NET-C004,INV-300402,2026-04-11,2026-05-11,USD,3295.72,3295.72,OPEN,PARTIAL
NET-I004-03,NET-C004,INV-300403,2026-04-18,2026-05-18,USD,3102.79,3102.79,OPEN,OVERPAYMENT
NET-I004-04,NET-C004,INV-300404,2026-04-28,2026-05-28,USD,3280.68,3280.68,OPEN,ONE_PAYMENT_MULTI_INVOICE
NET-I004-05,NET-C004,INV-300405,2026-05-08,2026-06-07,USD,3760.7,3760.7,OPEN,MULTI_PAYMENT_ONE_INVOICE
NET-I004-06,NET-C004,INV-300406,2026-05-17,2026-06-16,USD,4153.15,4153.15,OPEN,MISSING_REMITTANCE
NET-I004-07,NET-C004,INV-300407,2026-05-22,2026-06-21,EUR,3833.98,3833.98,OPEN,CURRENCY_TOLERANCE
NET-I004-08,NET-C004,INV-300408,2026-05-30,2026-06-29,USD,4356.65,4356.65,OPEN,SHORT_PAY_DEDUCTION
NET-I004-09,NET-C004,INV-300409,2026-06-09,2026-07-09,USD,4322.12,4322.12,OPEN,UNMATCHED_CASH
NET-I004-10,NET-C004,INV-300410,2026-06-21,2026-07-21,USD,5027.17,5027.17,OPEN,OPEN_PAST_DUE
NET-I004-11,NET-C004,INV-300411,2026-06-28,2026-07-28,USD,5086.0,5086.0,OPEN,BROKEN_PROMISE
NET-I004-12,NET-C004,INV-300412,2026-07-10,2026-08-09,USD,5579.79,5579.79,OPEN,EXACT
NET-I005-01,NET-C005,INV-300501,2026-03-29,2026-05-28,USD,2779.25,2779.25,OPEN,EXACT
NET-I005-02,NET-C005,INV-300502,2026-04-09,2026-06-08,USD,3200.25,3200.25,OPEN,PARTIAL
NET-I005-03,NET-C005,INV-300503,2026-04-16,2026-06-15,USD,3721.11,3721.11,OPEN,OVERPAYMENT
NET-I005-04,NET-C005,INV-300504,2026-04-24,2026-06-23,USD,3772.71,3772.71,OPEN,ONE_PAYMENT_MULTI_INVOICE
NET-I005-05,NET-C005,INV-300505,2026-05-05,2026-07-04,USD,3845.59,3845.59,OPEN,MULTI_PAYMENT_ONE_INVOICE
NET-I005-06,NET-C005,INV-300506,2026-05-13,2026-07-12,USD,4032.33,4032.33,OPEN,MISSING_REMITTANCE
NET-I005-07,NET-C005,INV-300507,2026-05-25,2026-07-24,EUR,3987.44,3987.44,OPEN,CURRENCY_TOLERANCE
NET-I005-08,NET-C005,INV-300508,2026-06-01,2026-07-31,USD,4635.53,4635.53,OPEN,SHORT_PAY_DEDUCTION
NET-I005-09,NET-C005,INV-300509,2026-06-12,2026-08-11,USD,4795.73,4795.73,OPEN,UNMATCHED_CASH
NET-I005-10,NET-C005,INV-300510,2026-06-16,2026-08-15,USD,5129.56,5129.56,OPEN,OPEN_PAST_DUE
NET-I005-11,NET-C005,INV-300511,2026-06-27,2026-08-26,USD,5447.81,5447.81,OPEN,BROKEN_PROMISE
NET-I005-12,NET-C005,INV-300512,2026-07-10,2026-09-08,USD,5525.65,5525.65,OPEN,EXACT
NET-I006-01,NET-C006,INV-300601,2026-04-01,2026-05-01,USD,3275.16,3275.16,OPEN,EXACT
NET-I006-02,NET-C006,INV-300602,2026-04-10,2026-05-10,USD,3537.75,3537.75,OPEN,PARTIAL
NET-I006-03,NET-C006,INV-300603,2026-04-19,2026-05-19,USD,3585.88,3585.88,OPEN,OVERPAYMENT
NET-I006-04,NET-C006,INV-300604,2026-04-28,2026-05-28,USD,3954.68,3954.68,OPEN,ONE_PAYMENT_MULTI_INVOICE
NET-I006-05,NET-C006,INV-300605,2026-05-06,2026-06-05,USD,3790.33,3790.33,OPEN,MULTI_PAYMENT_ONE_INVOICE
NET-I006-06,NET-C006,INV-300606,2026-05-13,2026-06-12,USD,4464.34,4464.34,OPEN,MISSING_REMITTANCE
NET-I006-07,NET-C006,INV-300607,2026-05-26,2026-06-25,EUR,4210.83,4210.83,OPEN,CURRENCY_TOLERANCE
NET-I006-08,NET-C006,INV-300608,2026-06-02,2026-07-02,USD,4357.53,4357.53,OPEN,SHORT_PAY_DEDUCTION
NET-I006-09,NET-C006,INV-300609,2026-06-12,2026-07-12,USD,4628.02,4628.02,OPEN,UNMATCHED_CASH
NET-I006-10,NET-C006,INV-300610,2026-06-20,2026-07-20,USD,5351.53,5351.53,OPEN,OPEN_PAST_DUE
NET-I006-11,NET-C006,INV-300611,2026-06-28,2026-07-28,USD,5388.93,5388.93,OPEN,BROKEN_PROMISE
NET-I006-12,NET-C006,INV-300612,2026-07-08,2026-08-07,USD,5235.79,5235.79,OPEN,EXACT
NET-I007-01,NET-C007,INV-300701,2026-04-01,2026-05-31,USD,3052.25,3052.25,OPEN,EXACT
NET-I007-02,NET-C007,INV-300702,2026-04-10,2026-06-09,USD,3840.15,3840.15,OPEN,PARTIAL
NET-I007-03,NET-C007,INV-300703,2026-04-18,2026-06-17,USD,3577.74,3577.74,OPEN,OVERPAYMENT
NET-I007-04,NET-C007,INV-300704,2026-04-28,2026-06-27,USD,4016.05,4016.05,OPEN,ONE_PAYMENT_MULTI_INVOICE
NET-I007-05,NET-C007,INV-300705,2026-05-06,2026-07-05,USD,4260.06,4260.06,OPEN,MULTI_PAYMENT_ONE_INVOICE
NET-I007-06,NET-C007,INV-300706,2026-05-12,2026-07-11,USD,4199.75,4199.75,OPEN,MISSING_REMITTANCE
NET-I007-07,NET-C007,INV-300707,2026-05-20,2026-07-19,EUR,4352.99,4352.99,OPEN,CURRENCY_TOLERANCE
NET-I007-08,NET-C007,INV-300708,2026-06-02,2026-08-01,USD,4642.42,4642.42,OPEN,SHORT_PAY_DEDUCTION
NET-I007-09,NET-C007,INV-300709,2026-06-12,2026-08-11,USD,5318.3,5318.3,OPEN,UNMATCHED_CASH
NET-I007-10,NET-C007,INV-300710,2026-06-20,2026-08-19,USD,4888.06,4888.06,OPEN,OPEN_PAST_DUE
NET-I007-11,NET-C007,INV-300711,2026-06-28,2026-08-27,USD,5639.7,5639.7,OPEN,BROKEN_PROMISE
NET-I007-12,NET-C007,INV-300712,2026-07-07,2026-09-05,USD,5898.28,5898.28,OPEN,EXACT
NET-I008-01,NET-C008,INV-300801,2026-03-31,2026-04-30,USD,3244.78,3244.78,OPEN,EXACT
NET-I008-02,NET-C008,INV-300802,2026-04-11,2026-05-11,USD,3944.99,3944.99,OPEN,PARTIAL
NET-I008-03,NET-C008,INV-300803,2026-04-17,2026-05-17,USD,3684.66,3684.66,OPEN,OVERPAYMENT
NET-I008-04,NET-C008,INV-300804,2026-04-25,2026-05-25,USD,3873.95,3873.95,OPEN,ONE_PAYMENT_MULTI_INVOICE
NET-I008-05,NET-C008,INV-300805,2026-05-02,2026-06-01,USD,4141.81,4141.81,OPEN,MULTI_PAYMENT_ONE_INVOICE
NET-I008-06,NET-C008,INV-300806,2026-05-14,2026-06-13,USD,4826.27,4826.27,OPEN,MISSING_REMITTANCE
NET-I008-07,NET-C008,INV-300807,2026-05-22,2026-06-21,EUR,4539.4,4539.4,OPEN,CURRENCY_TOLERANCE
NET-I008-08,NET-C008,INV-300808,2026-05-31,2026-06-30,USD,4939.05,4939.05,OPEN,SHORT_PAY_DEDUCTION
NET-I008-09,NET-C008,INV-300809,2026-06-08,2026-07-08,USD,5285.67,5285.67,OPEN,UNMATCHED_CASH
NET-I008-10,NET-C008,INV-300810,2026-06-18,2026-07-18,USD,5275.51,5275.51,OPEN,OPEN_PAST_DUE
NET-I008-11,NET-C008,INV-300811,2026-07-01,2026-07-31,USD,5525.95,5525.95,OPEN,BROKEN_PROMISE
NET-I008-12,NET-C008,INV-300812,2026-07-09,2026-08-08,USD,6013.12,6013.12,OPEN,EXACT
NET-I009-01,NET-C009,INV-300901,2026-03-27,2026-04-26,USD,3491.95,3491.95,OPEN,EXACT
NET-I009-02,NET-C009,INV-300902,2026-04-05,2026-05-05,USD,3882.74,3882.74,OPEN,PARTIAL
NET-I009-03,NET-C009,INV-300903,2026-04-18,2026-05-18,USD,3948.1,3948.1,OPEN,OVERPAYMENT
NET-I009-04,NET-C009,INV-300904,2026-04-29,2026-05-29,USD,3956.67,3956.67,OPEN,ONE_PAYMENT_MULTI_INVOICE
NET-I009-05,NET-C009,INV-300905,2026-05-03,2026-06-02,USD,4729.42,4729.42,OPEN,MULTI_PAYMENT_ONE_INVOICE
NET-I009-06,NET-C009,INV-300906,2026-05-16,2026-06-15,USD,4975.85,4975.85,OPEN,MISSING_REMITTANCE
NET-I009-07,NET-C009,INV-300907,2026-05-22,2026-06-21,EUR,4966.68,4966.68,OPEN,CURRENCY_TOLERANCE
NET-I009-08,NET-C009,INV-300908,2026-06-01,2026-07-01,USD,5245.92,5245.92,OPEN,SHORT_PAY_DEDUCTION
NET-I009-09,NET-C009,INV-300909,2026-06-13,2026-07-13,USD,5127.51,5127.51,OPEN,UNMATCHED_CASH
NET-I009-10,NET-C009,INV-300910,2026-06-22,2026-07-22,USD,5541.89,5541.89,OPEN,OPEN_PAST_DUE
NET-I009-11,NET-C009,INV-300911,2026-06-26,2026-07-26,USD,5392.44,5392.44,OPEN,BROKEN_PROMISE
NET-I009-12,NET-C009,INV-300912,2026-07-05,2026-08-04,USD,5679.75,5679.75,OPEN,EXACT
NET-I010-01,NET-C010,INV-301001,2026-03-27,2026-04-26,USD,3704.93,3704.93,OPEN,EXACT
NET-I010-02,NET-C010,INV-301002,2026-04-07,2026-05-07,USD,3800.73,3800.73,OPEN,PARTIAL
NET-I010-03,NET-C010,INV-301003,2026-04-19,2026-05-19,USD,4370.8,4370.8,OPEN,OVERPAYMENT
NET-I010-04,NET-C010,INV-301004,2026-04-27,2026-05-27,USD,4695.13,4695.13,OPEN,ONE_PAYMENT_MULTI_INVOICE
NET-I010-05,NET-C010,INV-301005,2026-05-06,2026-06-05,USD,4555.22,4555.22,OPEN,MULTI_PAYMENT_ONE_INVOICE
NET-I010-06,NET-C010,INV-301006,2026-05-11,2026-06-10,USD,4993.33,4993.33,OPEN,MISSING_REMITTANCE
NET-I010-07,NET-C010,INV-301007,2026-05-20,2026-06-19,EUR,5108.56,5108.56,OPEN,CURRENCY_TOLERANCE
NET-I010-08,NET-C010,INV-301008,2026-06-02,2026-07-02,USD,5409.95,5409.95,OPEN,SHORT_PAY_DEDUCTION
NET-I010-09,NET-C010,INV-301009,2026-06-08,2026-07-08,USD,5728.73,5728.73,OPEN,UNMATCHED_CASH
NET-I010-10,NET-C010,INV-301010,2026-06-21,2026-07-21,USD,5856.8,5856.8,OPEN,OPEN_PAST_DUE
NET-I010-11,NET-C010,INV-301011,2026-06-25,2026-07-25,USD,5888.48,5888.48,OPEN,BROKEN_PROMISE
NET-I010-12,NET-C010,INV-301012,2026-07-06,2026-08-05,USD,5836.09,5836.09,OPEN,EXACT
NET-I011-01,NET-C011,INV-301101,2026-04-02,2026-05-02,USD,3796.48,3796.48,OPEN,EXACT
NET-I011-02,NET-C011,INV-301102,2026-04-06,2026-05-06,USD,4373.74,4373.74,OPEN,PARTIAL
NET-I011-03,NET-C011,INV-301103,2026-04-20,2026-05-20,USD,4192.7,4192.7,OPEN,OVERPAYMENT
NET-I011-04,NET-C011,INV-301104,2026-04-24,2026-05-24,USD,4216.7,4216.7,OPEN,ONE_PAYMENT_MULTI_INVOICE
NET-I011-05,NET-C011,INV-301105,2026-05-05,2026-06-04,USD,4692.55,4692.55,OPEN,MULTI_PAYMENT_ONE_INVOICE
NET-I011-06,NET-C011,INV-301106,2026-05-12,2026-06-11,USD,5145.34,5145.34,OPEN,MISSING_REMITTANCE
NET-I011-07,NET-C011,INV-301107,2026-05-20,2026-06-19,EUR,4956.32,4956.32,OPEN,CURRENCY_TOLERANCE
NET-I011-08,NET-C011,INV-301108,2026-06-02,2026-07-02,USD,5433.08,5433.08,OPEN,SHORT_PAY_DEDUCTION
NET-I011-09,NET-C011,INV-301109,2026-06-08,2026-07-08,USD,5254.75,5254.75,OPEN,UNMATCHED_CASH
NET-I011-10,NET-C011,INV-301110,2026-06-19,2026-07-19,USD,5783.64,5783.64,OPEN,OPEN_PAST_DUE
NET-I011-11,NET-C011,INV-301111,2026-07-01,2026-07-31,USD,5913.26,5913.26,OPEN,BROKEN_PROMISE
NET-I011-12,NET-C011,INV-301112,2026-07-09,2026-08-08,USD,5911.33,5911.33,OPEN,EXACT
NET-I012-01,NET-C012,INV-301201,2026-04-01,2026-05-16,USD,4138.47,4138.47,OPEN,EXACT
NET-I012-02,NET-C012,INV-301202,2026-04-05,2026-05-20,USD,4232.64,4232.64,OPEN,PARTIAL
NET-I012-03,NET-C012,INV-301203,2026-04-18,2026-06-02,USD,4082.75,4082.75,OPEN,OVERPAYMENT
NET-I012-04,NET-C012,INV-301204,2026-04-23,2026-06-07,USD,4354.6,4354.6,OPEN,ONE_PAYMENT_MULTI_INVOICE
NET-I012-05,NET-C012,INV-301205,2026-05-05,2026-06-19,USD,5047.53,5047.53,OPEN,MULTI_PAYMENT_ONE_INVOICE
NET-I012-06,NET-C012,INV-301206,2026-05-16,2026-06-30,USD,5323.17,5323.17,OPEN,MISSING_REMITTANCE
NET-I012-07,NET-C012,INV-301207,2026-05-24,2026-07-08,EUR,5361.19,5361.19,OPEN,CURRENCY_TOLERANCE
NET-I012-08,NET-C012,INV-301208,2026-06-02,2026-07-17,USD,5264.9,5264.9,OPEN,SHORT_PAY_DEDUCTION
NET-I012-09,NET-C012,INV-301209,2026-06-09,2026-07-24,USD,5495.66,5495.66,OPEN,UNMATCHED_CASH
NET-I012-10,NET-C012,INV-301210,2026-06-16,2026-07-31,USD,5557.55,5557.55,OPEN,OPEN_PAST_DUE
NET-I012-11,NET-C012,INV-301211,2026-06-25,2026-08-09,USD,6389.78,6389.78,OPEN,BROKEN_PROMISE
NET-I012-12,NET-C012,INV-301212,2026-07-09,2026-08-23,USD,6645.94,6645.94,OPEN,EXACT
NET-I013-01,NET-C013,INV-301301,2026-03-30,2026-05-29,USD,4214.7,4214.7,OPEN,EXACT
NET-I013-02,NET-C013,INV-301302,2026-04-05,2026-06-04,USD,4272.94,4272.94,OPEN,PARTIAL
NET-I013-03,NET-C013,INV-301303,2026-04-16,2026-06-15,USD,4714.87,4714.87,OPEN,OVERPAYMENT
NET-I013-04,NET-C013,INV-301304,2026-04-27,2026-06-26,USD,5063.77,5063.77,OPEN,ONE_PAYMENT_MULTI_INVOICE
NET-I013-05,NET-C013,INV-301305,2026-05-05,2026-07-04,USD,5087.78,5087.78,OPEN,MULTI_PAYMENT_ONE_INVOICE
NET-I013-06,NET-C013,INV-301306,2026-05-14,2026-07-13,USD,5232.65,5232.65,OPEN,MISSING_REMITTANCE
NET-I013-07,NET-C013,INV-301307,2026-05-23,2026-07-22,EUR,5442.14,5442.14,OPEN,CURRENCY_TOLERANCE
NET-I013-08,NET-C013,INV-301308,2026-06-04,2026-08-03,USD,5345.69,5345.69,OPEN,SHORT_PAY_DEDUCTION
NET-I013-09,NET-C013,INV-301309,2026-06-07,2026-08-06,USD,6017.77,6017.77,OPEN,UNMATCHED_CASH
NET-I013-10,NET-C013,INV-301310,2026-06-21,2026-08-20,USD,5802.76,5802.76,OPEN,OPEN_PAST_DUE
NET-I013-11,NET-C013,INV-301311,2026-06-27,2026-08-26,USD,6171.91,6171.91,OPEN,BROKEN_PROMISE
NET-I013-12,NET-C013,INV-301312,2026-07-04,2026-09-02,USD,6292.22,6292.22,OPEN,EXACT
NET-I014-01,NET-C014,INV-301401,2026-03-29,2026-05-28,USD,4203.68,4203.68,OPEN,EXACT
NET-I014-02,NET-C014,INV-301402,2026-04-10,2026-06-09,USD,4310.82,4310.82,OPEN,PARTIAL
NET-I014-03,NET-C014,INV-301403,2026-04-15,2026-06-14,USD,4854.32,4854.32,OPEN,OVERPAYMENT
NET-I014-04,NET-C014,INV-301404,2026-04-24,2026-06-23,USD,5169.23,5169.23,OPEN,ONE_PAYMENT_MULTI_INVOICE
NET-I014-05,NET-C014,INV-301405,2026-05-08,2026-07-07,USD,4999.72,4999.72,OPEN,MULTI_PAYMENT_ONE_INVOICE
NET-I014-06,NET-C014,INV-301406,2026-05-16,2026-07-15,USD,5527.2,5527.2,OPEN,MISSING_REMITTANCE
NET-I014-07,NET-C014,INV-301407,2026-05-22,2026-07-21,EUR,5773.86,5773.86,OPEN,CURRENCY_TOLERANCE
NET-I014-08,NET-C014,INV-301408,2026-06-01,2026-07-31,USD,6016.98,6016.98,OPEN,SHORT_PAY_DEDUCTION
NET-I014-09,NET-C014,INV-301409,2026-06-07,2026-08-06,USD,5660.57,5660.57,OPEN,UNMATCHED_CASH
NET-I014-10,NET-C014,INV-301410,2026-06-17,2026-08-16,USD,6425.08,6425.08,OPEN,OPEN_PAST_DUE
NET-I014-11,NET-C014,INV-301411,2026-06-30,2026-08-29,USD,6334.35,6334.35,OPEN,BROKEN_PROMISE
NET-I014-12,NET-C014,INV-301412,2026-07-10,2026-09-08,USD,6763.37,6763.37,OPEN,EXACT
NET-I015-01,NET-C015,INV-301501,2026-03-27,2026-05-26,USD,4443.63,4443.63,OPEN,EXACT
NET-I015-02,NET-C015,INV-301502,2026-04-11,2026-06-10,USD,4390.52,4390.52,OPEN,PARTIAL
NET-I015-03,NET-C015,INV-301503,2026-04-19,2026-06-18,USD,5027.94,5027.94,OPEN,OVERPAYMENT
NET-I015-04,NET-C015,INV-301504,2026-04-27,2026-06-26,USD,5112.8,5112.8,OPEN,ONE_PAYMENT_MULTI_INVOICE
NET-I015-05,NET-C015,INV-301505,2026-05-05,2026-07-04,USD,5473.1,5473.1,OPEN,MULTI_PAYMENT_ONE_INVOICE
NET-I015-06,NET-C015,INV-301506,2026-05-13,2026-07-12,USD,5452.6,5452.6,OPEN,MISSING_REMITTANCE
NET-I015-07,NET-C015,INV-301507,2026-05-25,2026-07-24,EUR,5956.87,5956.87,OPEN,CURRENCY_TOLERANCE
NET-I015-08,NET-C015,INV-301508,2026-06-04,2026-08-03,USD,5896.64,5896.64,OPEN,SHORT_PAY_DEDUCTION
NET-I015-09,NET-C015,INV-301509,2026-06-11,2026-08-10,USD,6066.58,6066.58,OPEN,UNMATCHED_CASH
NET-I015-10,NET-C015,INV-301510,2026-06-22,2026-08-21,USD,6513.24,6513.24,OPEN,OPEN_PAST_DUE
NET-I015-11,NET-C015,INV-301511,2026-06-26,2026-08-25,USD,6866.37,6866.37,OPEN,BROKEN_PROMISE
NET-I015-12,NET-C015,INV-301512,2026-07-07,2026-09-05,USD,6571.13,6571.13,OPEN,EXACT
NET-I016-01,NET-C016,INV-301601,2026-03-27,2026-05-26,USD,4376.45,4376.45,OPEN,EXACT
NET-I016-02,NET-C016,INV-301602,2026-04-07,2026-06-06,USD,4838.39,4838.39,OPEN,PARTIAL
NET-I016-03,NET-C016,INV-301603,2026-04-16,2026-06-15,USD,4631.19,4631.19,OPEN,OVERPAYMENT
NET-I016-04,NET-C016,INV-301604,2026-04-28,2026-06-27,USD,5335.06,5335.06,OPEN,ONE_PAYMENT_MULTI_INVOICE
NET-I016-05,NET-C016,INV-301605,2026-05-08,2026-07-07,USD,5421.9,5421.9,OPEN,MULTI_PAYMENT_ONE_INVOICE
NET-I016-06,NET-C016,INV-301606,2026-05-17,2026-07-16,USD,5892.9,5892.9,OPEN,MISSING_REMITTANCE
NET-I016-07,NET-C016,INV-301607,2026-05-25,2026-07-24,EUR,5641.47,5641.47,OPEN,CURRENCY_TOLERANCE
NET-I016-08,NET-C016,INV-301608,2026-06-01,2026-07-31,USD,6127.72,6127.72,OPEN,SHORT_PAY_DEDUCTION
NET-I016-09,NET-C016,INV-301609,2026-06-08,2026-08-07,USD,6111.54,6111.54,OPEN,UNMATCHED_CASH
NET-I016-10,NET-C016,INV-301610,2026-06-20,2026-08-19,USD,6641.71,6641.71,OPEN,OPEN_PAST_DUE
NET-I016-11,NET-C016,INV-301611,2026-06-27,2026-08-26,USD,6629.47,6629.47,OPEN,BROKEN_PROMISE
NET-I016-12,NET-C016,INV-301612,2026-07-07,2026-09-05,USD,6749.43,6749.43,OPEN,EXACT
NET-I017-01,NET-C017,INV-301701,2026-03-29,2026-04-28,USD,4963.91,4963.91,OPEN,EXACT
NET-I017-02,NET-C017,INV-301702,2026-04-06,2026-05-06,USD,4620.5,4620.5,OPEN,PARTIAL
NET-I017-03,NET-C017,INV-301703,2026-04-18,2026-05-18,USD,5241.37,5241.37,OPEN,OVERPAYMENT
NET-I017-04,NET-C017,INV-301704,2026-04-23,2026-05-23,USD,5038.51,5038.51,OPEN,ONE_PAYMENT_MULTI_INVOICE
NET-I017-05,NET-C017,INV-301705,2026-05-07,2026-06-06,USD,5666.33,5666.33,OPEN,MULTI_PAYMENT_ONE_INVOICE
NET-I017-06,NET-C017,INV-301706,2026-05-14,2026-06-13,USD,5875.77,5875.77,OPEN,MISSING_REMITTANCE
NET-I017-07,NET-C017,INV-301707,2026-05-26,2026-06-25,EUR,6199.47,6199.47,OPEN,CURRENCY_TOLERANCE
NET-I017-08,NET-C017,INV-301708,2026-06-01,2026-07-01,USD,6198.18,6198.18,OPEN,SHORT_PAY_DEDUCTION
NET-I017-09,NET-C017,INV-301709,2026-06-12,2026-07-12,USD,6125.85,6125.85,OPEN,UNMATCHED_CASH
NET-I017-10,NET-C017,INV-301710,2026-06-22,2026-07-22,USD,6492.29,6492.29,OPEN,OPEN_PAST_DUE
NET-I017-11,NET-C017,INV-301711,2026-06-27,2026-07-27,USD,7088.37,7088.37,OPEN,BROKEN_PROMISE
NET-I017-12,NET-C017,INV-301712,2026-07-04,2026-08-03,USD,6816.58,6816.58,OPEN,EXACT
NET-I018-01,NET-C018,INV-301801,2026-04-01,2026-05-01,USD,5098.04,5098.04,OPEN,EXACT
NET-I018-02,NET-C018,INV-301802,2026-04-08,2026-05-08,USD,5309.92,5309.92,OPEN,PARTIAL
NET-I018-03,NET-C018,INV-301803,2026-04-18,2026-05-18,USD,4974.2,4974.2,OPEN,OVERPAYMENT
NET-I018-04,NET-C018,INV-301804,2026-04-28,2026-05-28,USD,5725.23,5725.23,OPEN,ONE_PAYMENT_MULTI_INVOICE
NET-I018-05,NET-C018,INV-301805,2026-05-02,2026-06-01,USD,5401.11,5401.11,OPEN,MULTI_PAYMENT_ONE_INVOICE
NET-I018-06,NET-C018,INV-301806,2026-05-14,2026-06-13,USD,6193.38,6193.38,OPEN,MISSING_REMITTANCE
NET-I018-07,NET-C018,INV-301807,2026-05-20,2026-06-19,EUR,6347.67,6347.67,OPEN,CURRENCY_TOLERANCE
NET-I018-08,NET-C018,INV-301808,2026-06-03,2026-07-03,USD,6344.15,6344.15,OPEN,SHORT_PAY_DEDUCTION
NET-I018-09,NET-C018,INV-301809,2026-06-12,2026-07-12,USD,6524.21,6524.21,OPEN,UNMATCHED_CASH
NET-I018-10,NET-C018,INV-301810,2026-06-22,2026-07-22,USD,6809.86,6809.86,OPEN,OPEN_PAST_DUE
