BELNR,KUNNR,XBLNR,BLDAT,FAEDT,WAERS,WRBTR,DMBTR_OPEN,AUGST,TEST_SCENARIO
SAP-I007-07,SAP-C007,INV-100707,2026-05-26,2026-07-25,EUR,4546.19,4546.19,OPEN,CURRENCY_TOLERANCE
SAP-I007-08,SAP-C007,INV-100708,2026-05-29,2026-07-28,USD,5046.18,5046.18,OPEN,SHORT_PAY_DEDUCTION
SAP-I007-09,SAP-C007,INV-100709,2026-06-13,2026-08-12,USD,4693.41,4693.41,OPEN,UNMATCHED_CASH
SAP-I007-10,SAP-C007,INV-100710,2026-06-18,2026-08-17,USD,5454.22,5454.22,OPEN,OPEN_PAST_DUE
SAP-I007-11,SAP-C007,INV-100711,2026-07-01,2026-08-30,USD,5728.46,5728.46,OPEN,BROKEN_PROMISE
SAP-I007-12,SAP-C007,INV-100712,2026-07-04,2026-09-02,USD,5456.47,5456.47,OPEN,EXACT
SAP-I008-01,SAP-C008,INV-100801,2026-04-01,2026-05-31,USD,3239.93,3239.93,OPEN,EXACT
SAP-I008-02,SAP-C008,INV-100802,2026-04-10,2026-06-09,USD,3996.1,3996.1,OPEN,PARTIAL
SAP-I008-03,SAP-C008,INV-100803,2026-04-16,2026-06-15,USD,4044.02,4044.02,OPEN,OVERPAYMENT
SAP-I008-04,SAP-C008,INV-100804,2026-04-29,2026-06-28,USD,4263.58,4263.58,OPEN,ONE_PAYMENT_MULTI_INVOICE
SAP-I008-05,SAP-C008,INV-100805,2026-05-08,2026-07-07,USD,3986.1,3986.1,OPEN,MULTI_PAYMENT_ONE_INVOICE
SAP-I008-06,SAP-C008,INV-100806,2026-05-14,2026-07-13,USD,4514.0,4514.0,OPEN,MISSING_REMITTANCE
SAP-I008-07,SAP-C008,INV-100807,2026-05-20,2026-07-19,EUR,4744.79,4744.79,OPEN,CURRENCY_TOLERANCE
SAP-I008-08,SAP-C008,INV-100808,2026-06-04,2026-08-03,USD,5256.55,5256.55,OPEN,SHORT_PAY_DEDUCTION
SAP-I008-09,SAP-C008,INV-100809,2026-06-13,2026-08-12,USD,5390.94,5390.94,OPEN,UNMATCHED_CASH
SAP-I008-10,SAP-C008,INV-100810,2026-06-22,2026-08-21,USD,5422.52,5422.52,OPEN,OPEN_PAST_DUE
SAP-I008-11,SAP-C008,INV-100811,2026-06-26,2026-08-25,USD,5820.27,5820.27,OPEN,BROKEN_PROMISE
SAP-I008-12,SAP-C008,INV-100812,2026-07-07,2026-09-05,USD,5511.92,5511.92,OPEN,EXACT
SAP-I009-01,SAP-C009,INV-100901,2026-03-30,2026-05-14,USD,3465.32,3465.32,OPEN,EXACT
SAP-I009-02,SAP-C009,INV-100902,2026-04-05,2026-05-20,USD,4110.01,4110.01,OPEN,PARTIAL
SAP-I009-03,SAP-C009,INV-100903,2026-04-20,2026-06-04,USD,3986.8,3986.8,OPEN,OVERPAYMENT
SAP-I009-04,SAP-C009,INV-100904,2026-04-25,2026-06-09,USD,4574.27,4574.27,OPEN,ONE_PAYMENT_MULTI_INVOICE
SAP-I009-05,SAP-C009,INV-100905,2026-05-08,2026-06-22,USD,4464.34,4464.34,OPEN,MULTI_PAYMENT_ONE_INVOICE
SAP-I009-06,SAP-C009,INV-100906,2026-05-13,2026-06-27,USD,4484.64,4484.64,OPEN,MISSING_REMITTANCE
SAP-I009-07,SAP-C009,INV-100907,2026-05-24,2026-07-08,EUR,5126.6,5126.6,OPEN,CURRENCY_TOLERANCE
SAP-I009-08,SAP-C009,INV-100908,2026-06-03,2026-07-18,USD,4979.67,4979.67,OPEN,SHORT_PAY_DEDUCTION
SAP-I009-09,SAP-C009,INV-100909,2026-06-12,2026-07-27,USD,5238.73,5238.73,OPEN,UNMATCHED_CASH
SAP-I009-10,SAP-C009,INV-100910,2026-06-18,2026-08-02,USD,5635.48,5635.48,OPEN,OPEN_PAST_DUE
SAP-I009-11,SAP-C009,INV-100911,2026-06-27,2026-08-11,USD,6042.7,6042.7,OPEN,BROKEN_PROMISE
SAP-I009-12,SAP-C009,INV-100912,2026-07-04,2026-08-18,USD,6022.78,6022.78,OPEN,EXACT
SAP-I010-01,SAP-C010,INV-101001,2026-04-01,2026-05-16,USD,3862.25,3862.25,OPEN,EXACT
SAP-I010-02,SAP-C010,INV-101002,2026-04-05,2026-05-20,USD,3776.79,3776.79,OPEN,PARTIAL
SAP-I010-03,SAP-C010,INV-101003,2026-04-17,2026-06-01,USD,3978.78,3978.78,OPEN,OVERPAYMENT
SAP-I010-04,SAP-C010,INV-101004,2026-04-23,2026-06-07,USD,4049.56,4049.56,OPEN,ONE_PAYMENT_MULTI_INVOICE
SAP-I010-05,SAP-C010,INV-101005,2026-05-03,2026-06-17,USD,4521.5,4521.5,OPEN,MULTI_PAYMENT_ONE_INVOICE
SAP-I010-06,SAP-C010,INV-101006,2026-05-15,2026-06-29,USD,4466.86,4466.86,OPEN,MISSING_REMITTANCE
SAP-I010-07,SAP-C010,INV-101007,2026-05-24,2026-07-08,EUR,5186.78,5186.78,OPEN,CURRENCY_TOLERANCE
SAP-I010-08,SAP-C010,INV-101008,2026-05-30,2026-07-14,USD,5543.86,5543.86,OPEN,SHORT_PAY_DEDUCTION
SAP-I010-09,SAP-C010,INV-101009,2026-06-12,2026-07-27,USD,5587.86,5587.86,OPEN,UNMATCHED_CASH
SAP-I010-10,SAP-C010,INV-101010,2026-06-18,2026-08-02,USD,5773.97,5773.97,OPEN,OPEN_PAST_DUE
SAP-I010-11,SAP-C010,INV-101011,2026-06-27,2026-08-11,USD,5497.77,5497.77,OPEN,BROKEN_PROMISE
SAP-I010-12,SAP-C010,INV-101012,2026-07-10,2026-08-24,USD,6363.54,6363.54,OPEN,EXACT
SAP-I011-01,SAP-C011,INV-101101,2026-03-28,2026-04-27,USD,3589.96,3589.96,OPEN,EXACT
SAP-I011-02,SAP-C011,INV-101102,2026-04-05,2026-05-05,USD,4120.92,4120.92,OPEN,PARTIAL
SAP-I011-03,SAP-C011,INV-101103,2026-04-14,2026-05-14,USD,4224.46,4224.46,OPEN,OVERPAYMENT
SAP-I011-04,SAP-C011,INV-101104,2026-04-25,2026-05-25,USD,4675.63,4675.63,OPEN,ONE_PAYMENT_MULTI_INVOICE
SAP-I011-05,SAP-C011,INV-101105,2026-05-07,2026-06-06,USD,4967.22,4967.22,OPEN,MULTI_PAYMENT_ONE_INVOICE
SAP-I011-06,SAP-C011,INV-101106,2026-05-11,2026-06-10,USD,5140.54,5140.54,OPEN,MISSING_REMITTANCE
SAP-I011-07,SAP-C011,INV-101107,2026-05-23,2026-06-22,EUR,4801.35,4801.35,OPEN,CURRENCY_TOLERANCE
SAP-I011-08,SAP-C011,INV-101108,2026-05-30,2026-06-29,USD,5642.14,5642.14,OPEN,SHORT_PAY_DEDUCTION
SAP-I011-09,SAP-C011,INV-101109,2026-06-07,2026-07-07,USD,5857.57,5857.57,OPEN,UNMATCHED_CASH
SAP-I011-10,SAP-C011,INV-101110,2026-06-16,2026-07-16,USD,5885.93,5885.93,OPEN,OPEN_PAST_DUE
SAP-I011-11,SAP-C011,INV-101111,2026-06-26,2026-07-26,USD,6195.52,6195.52,OPEN,BROKEN_PROMISE
SAP-I011-12,SAP-C011,INV-101112,2026-07-08,2026-08-07,USD,5950.44,5950.44,OPEN,EXACT
SAP-I012-01,SAP-C012,INV-101201,2026-03-31,2026-05-15,USD,4260.05,4260.05,OPEN,EXACT
SAP-I012-02,SAP-C012,INV-101202,2026-04-05,2026-05-20,USD,4061.39,4061.39,OPEN,PARTIAL
SAP-I012-03,SAP-C012,INV-101203,2026-04-15,2026-05-30,USD,4433.58,4433.58,OPEN,OVERPAYMENT
SAP-I012-04,SAP-C012,INV-101204,2026-04-24,2026-06-08,USD,4974.8,4974.8,OPEN,ONE_PAYMENT_MULTI_INVOICE
SAP-I012-05,SAP-C012,INV-101205,2026-05-04,2026-06-18,USD,4730.8,4730.8,OPEN,MULTI_PAYMENT_ONE_INVOICE
SAP-I012-06,SAP-C012,INV-101206,2026-05-17,2026-07-01,USD,4790.74,4790.74,OPEN,MISSING_REMITTANCE
SAP-I012-07,SAP-C012,INV-101207,2026-05-24,2026-07-08,EUR,5046.0,5046.0,OPEN,CURRENCY_TOLERANCE
SAP-I012-08,SAP-C012,INV-101208,2026-06-02,2026-07-17,USD,5158.78,5158.78,OPEN,SHORT_PAY_DEDUCTION
SAP-I012-09,SAP-C012,INV-101209,2026-06-09,2026-07-24,USD,5647.19,5647.19,OPEN,UNMATCHED_CASH
SAP-I012-10,SAP-C012,INV-101210,2026-06-17,2026-08-01,USD,6104.5,6104.5,OPEN,OPEN_PAST_DUE
SAP-I012-11,SAP-C012,INV-101211,2026-06-28,2026-08-12,USD,6189.35,6189.35,OPEN,BROKEN_PROMISE
SAP-I012-12,SAP-C012,INV-101212,2026-07-06,2026-08-20,USD,6056.95,6056.95,OPEN,EXACT
SAP-I013-01,SAP-C013,INV-101301,2026-03-28,2026-05-12,USD,4385.61,4385.61,OPEN,EXACT
SAP-I013-02,SAP-C013,INV-101302,2026-04-06,2026-05-21,USD,4633.03,4633.03,OPEN,PARTIAL
SAP-I013-03,SAP-C013,INV-101303,2026-04-16,2026-05-31,USD,4430.5,4430.5,OPEN,OVERPAYMENT
SAP-I013-04,SAP-C013,INV-101304,2026-04-26,2026-06-10,USD,4653.33,4653.33,OPEN,ONE_PAYMENT_MULTI_INVOICE
SAP-I013-05,SAP-C013,INV-101305,2026-05-03,2026-06-17,USD,4842.96,4842.96,OPEN,MULTI_PAYMENT_ONE_INVOICE
SAP-I013-06,SAP-C013,INV-101306,2026-05-16,2026-06-30,USD,4981.29,4981.29,OPEN,MISSING_REMITTANCE
SAP-I013-07,SAP-C013,INV-101307,2026-05-21,2026-07-05,EUR,5716.25,5716.25,OPEN,CURRENCY_TOLERANCE
SAP-I013-08,SAP-C013,INV-101308,2026-05-30,2026-07-14,USD,5792.69,5792.69,OPEN,SHORT_PAY_DEDUCTION
SAP-I013-09,SAP-C013,INV-101309,2026-06-12,2026-07-27,USD,5910.86,5910.86,OPEN,UNMATCHED_CASH
SAP-I013-10,SAP-C013,INV-101310,2026-06-20,2026-08-04,USD,5975.25,5975.25,OPEN,OPEN_PAST_DUE
SAP-I013-11,SAP-C013,INV-101311,2026-06-25,2026-08-09,USD,5902.28,5902.28,OPEN,BROKEN_PROMISE
SAP-I013-12,SAP-C013,INV-101312,2026-07-08,2026-08-22,USD,6260.13,6260.13,OPEN,EXACT
SAP-I014-01,SAP-C014,INV-101401,2026-03-27,2026-04-26,USD,4595.4,4595.4,OPEN,EXACT
SAP-I014-02,SAP-C014,INV-101402,2026-04-10,2026-05-10,USD,4610.96,4610.96,OPEN,PARTIAL
SAP-I014-03,SAP-C014,INV-101403,2026-04-19,2026-05-19,USD,4915.59,4915.59,OPEN,OVERPAYMENT
SAP-I014-04,SAP-C014,INV-101404,2026-04-28,2026-05-28,USD,4579.1,4579.1,OPEN,ONE_PAYMENT_MULTI_INVOICE
SAP-I014-05,SAP-C014,INV-101405,2026-05-07,2026-06-06,USD,5461.76,5461.76,OPEN,MULTI_PAYMENT_ONE_INVOICE
SAP-I014-06,SAP-C014,INV-101406,2026-05-13,2026-06-12,USD,5578.82,5578.82,OPEN,MISSING_REMITTANCE
SAP-I014-07,SAP-C014,INV-101407,2026-05-26,2026-06-25,EUR,5513.79,5513.79,OPEN,CURRENCY_TOLERANCE
SAP-I014-08,SAP-C014,INV-101408,2026-05-30,2026-06-29,USD,5808.97,5808.97,OPEN,SHORT_PAY_DEDUCTION
SAP-I014-09,SAP-C014,INV-101409,2026-06-08,2026-07-08,USD,6104.45,6104.45,OPEN,UNMATCHED_CASH
SAP-I014-10,SAP-C014,INV-101410,2026-06-19,2026-07-19,USD,6107.76,6107.76,OPEN,OPEN_PAST_DUE
SAP-I014-11,SAP-C014,INV-101411,2026-06-30,2026-07-30,USD,6498.24,6498.24,OPEN,BROKEN_PROMISE
SAP-I014-12,SAP-C014,INV-101412,2026-07-10,2026-08-09,USD,6874.86,6874.86,OPEN,EXACT
SAP-I015-01,SAP-C015,INV-101501,2026-03-29,2026-05-28,USD,4636.5,4636.5,OPEN,EXACT
SAP-I015-02,SAP-C015,INV-101502,2026-04-07,2026-06-06,USD,4575.72,4575.72,OPEN,PARTIAL
SAP-I015-03,SAP-C015,INV-101503,2026-04-16,2026-06-15,USD,4800.14,4800.14,OPEN,OVERPAYMENT
SAP-I015-04,SAP-C015,INV-101504,2026-04-28,2026-06-27,USD,5219.56,5219.56,OPEN,ONE_PAYMENT_MULTI_INVOICE
SAP-I015-05,SAP-C015,INV-101505,2026-05-05,2026-07-04,USD,5225.05,5225.05,OPEN,MULTI_PAYMENT_ONE_INVOICE
SAP-I015-06,SAP-C015,INV-101506,2026-05-11,2026-07-10,USD,5294.07,5294.07,OPEN,MISSING_REMITTANCE
SAP-I015-07,SAP-C015,INV-101507,2026-05-21,2026-07-20,EUR,5526.12,5526.12,OPEN,CURRENCY_TOLERANCE
SAP-I015-08,SAP-C015,INV-101508,2026-05-29,2026-07-28,USD,5907.91,5907.91,OPEN,SHORT_PAY_DEDUCTION
SAP-I015-09,SAP-C015,INV-101509,2026-06-08,2026-08-07,USD,5921.47,5921.47,OPEN,UNMATCHED_CASH
SAP-I015-10,SAP-C015,INV-101510,2026-06-19,2026-08-18,USD,6019.24,6019.24,OPEN,OPEN_PAST_DUE
SAP-I015-11,SAP-C015,INV-101511,2026-06-29,2026-08-28,USD,6340.15,6340.15,OPEN,BROKEN_PROMISE
SAP-I015-12,SAP-C015,INV-101512,2026-07-08,2026-09-06,USD,6610.8,6610.8,OPEN,EXACT
SAP-I016-01,SAP-C016,INV-101601,2026-04-02,2026-06-01,USD,4347.78,4347.78,OPEN,EXACT
SAP-I016-02,SAP-C016,INV-101602,2026-04-08,2026-06-07,USD,4686.63,4686.63,OPEN,PARTIAL
SAP-I016-03,SAP-C016,INV-101603,2026-04-14,2026-06-13,USD,5033.86,5033.86,OPEN,OVERPAYMENT
SAP-I016-04,SAP-C016,INV-101604,2026-04-24,2026-06-23,USD,4849.67,4849.67,OPEN,ONE_PAYMENT_MULTI_INVOICE
SAP-I016-05,SAP-C016,INV-101605,2026-05-02,2026-07-01,USD,5449.98,5449.98,OPEN,MULTI_PAYMENT_ONE_INVOICE
SAP-I016-06,SAP-C016,INV-101606,2026-05-14,2026-07-13,USD,5262.13,5262.13,OPEN,MISSING_REMITTANCE
SAP-I016-07,SAP-C016,INV-101607,2026-05-24,2026-07-23,EUR,5678.03,5678.03,OPEN,CURRENCY_TOLERANCE
SAP-I016-08,SAP-C016,INV-101608,2026-06-01,2026-07-31,USD,6277.41,6277.41,OPEN,SHORT_PAY_DEDUCTION
SAP-I016-09,SAP-C016,INV-101609,2026-06-07,2026-08-06,USD,6184.31,6184.31,OPEN,UNMATCHED_CASH
SAP-I016-10,SAP-C016,INV-101610,2026-06-17,2026-08-16,USD,6616.24,6616.24,OPEN,OPEN_PAST_DUE
SAP-I016-11,SAP-C016,INV-101611,2026-06-25,2026-08-24,USD,6735.28,6735.28,OPEN,BROKEN_PROMISE
SAP-I016-12,SAP-C016,INV-101612,2026-07-09,2026-09-07,USD,6865.76,6865.76,OPEN,EXACT
SAP-I017-01,SAP-C017,INV-101701,2026-04-02,2026-05-02,USD,4789.92,4789.92,OPEN,EXACT
SAP-I017-02,SAP-C017,INV-101702,2026-04-10,2026-05-10,USD,5157.8,5157.8,OPEN,PARTIAL
SAP-I017-03,SAP-C017,INV-101703,2026-04-19,2026-05-19,USD,4797.2,4797.2,OPEN,OVERPAYMENT
SAP-I017-04,SAP-C017,INV-101704,2026-04-26,2026-05-26,USD,5202.15,5202.15,OPEN,ONE_PAYMENT_MULTI_INVOICE
SAP-I017-05,SAP-C017,INV-101705,2026-05-05,2026-06-04,USD,5412.79,5412.79,OPEN,MULTI_PAYMENT_ONE_INVOICE
SAP-I017-06,SAP-C017,INV-101706,2026-05-11,2026-06-10,USD,6010.75,6010.75,OPEN,MISSING_REMITTANCE
SAP-I017-07,SAP-C017,INV-101707,2026-05-24,2026-06-23,EUR,6132.41,6132.41,OPEN,CURRENCY_TOLERANCE
SAP-I017-08,SAP-C017,INV-101708,2026-05-29,2026-06-28,USD,6112.1,6112.1,OPEN,SHORT_PAY_DEDUCTION
SAP-I017-09,SAP-C017,INV-101709,2026-06-07,2026-07-07,USD,6085.33,6085.33,OPEN,UNMATCHED_CASH
SAP-I017-10,SAP-C017,INV-101710,2026-06-22,2026-07-22,USD,6763.32,6763.32,OPEN,OPEN_PAST_DUE
SAP-I017-11,SAP-C017,INV-101711,2026-07-01,2026-07-31,USD,7149.94,7149.94,OPEN,BROKEN_PROMISE
SAP-I017-12,SAP-C017,INV-101712,2026-07-08,2026-08-07,USD,6817.96,6817.96,OPEN,EXACT
SAP-I018-01,SAP-C018,INV-101801,2026-04-01,2026-05-16,USD,4901.12,4901.12,OPEN,EXACT
SAP-I018-02,SAP-C018,INV-101802,2026-04-06,2026-05-21,USD,5190.85,5190.85,OPEN,PARTIAL
SAP-I018-03,SAP-C018,INV-101803,2026-04-14,2026-05-29,USD,5472.51,5472.51,OPEN,OVERPAYMENT
