source_system,activity_id,customer_id,invoice_id,activity_date,activity_type,outcome
NETSUITE_SIM,ACT-NET-004-2,NET-C004,NET-I004-11,2026-07-25,EMAIL,NO_RESPONSE
NETSUITE_SIM,ACT-NET-005-1,NET-C005,NET-I005-11,2026-07-13,CALL,PROMISE_RECEIVED
NETSUITE_SIM,ACT-NET-005-2,NET-C005,NET-I005-11,2026-07-25,EMAIL,NO_RESPONSE
NETSUITE_SIM,ACT-NET-006-1,NET-C006,NET-I006-11,2026-07-13,CALL,PROMISE_RECEIVED
NETSUITE_SIM,ACT-NET-006-2,NET-C006,NET-I006-11,2026-07-25,EMAIL,NO_RESPONSE
NETSUITE_SIM,ACT-NET-007-1,NET-C007,NET-I007-11,2026-07-13,CALL,PROMISE_RECEIVED
NETSUITE_SIM,ACT-NET-007-2,NET-C007,NET-I007-11,2026-07-25,EMAIL,NO_RESPONSE
NETSUITE_SIM,ACT-NET-008-1,NET-C008,NET-I008-11,2026-07-13,CALL,PROMISE_RECEIVED
NETSUITE_SIM,ACT-NET-008-2,NET-C008,NET-I008-11,2026-07-25,EMAIL,NO_RESPONSE
NETSUITE_SIM,ACT-NET-009-1,NET-C009,NET-I009-11,2026-07-13,CALL,PROMISE_RECEIVED
NETSUITE_SIM,ACT-NET-009-2,NET-C009,NET-I009-11,2026-07-25,EMAIL,NO_RESPONSE
NETSUITE_SIM,ACT-NET-010-1,NET-C010,NET-I010-11,2026-07-13,CALL,PROMISE_RECEIVED
NETSUITE_SIM,ACT-NET-010-2,NET-C010,NET-I010-11,2026-07-25,EMAIL,NO_RESPONSE
NETSUITE_SIM,ACT-NET-011-1,NET-C011,NET-I011-11,2026-07-13,CALL,PROMISE_RECEIVED
NETSUITE_SIM,ACT-NET-011-2,NET-C011,NET-I011-11,2026-07-25,EMAIL,NO_RESPONSE
NETSUITE_SIM,ACT-NET-012-1,NET-C012,NET-I012-11,2026-07-13,CALL,PROMISE_RECEIVED
NETSUITE_SIM,ACT-NET-012-2,NET-C012,NET-I012-11,2026-07-25,EMAIL,NO_RESPONSE
NETSUITE_SIM,ACT-NET-013-1,NET-C013,NET-I013-11,2026-07-13,CALL,PROMISE_RECEIVED
NETSUITE_SIM,ACT-NET-013-2,NET-C013,NET-I013-11,2026-07-25,EMAIL,NO_RESPONSE
NETSUITE_SIM,ACT-NET-014-1,NET-C014,NET-I014-11,2026-07-13,CALL,PROMISE_RECEIVED
NETSUITE_SIM,ACT-NET-014-2,NET-C014,NET-I014-11,2026-07-25,EMAIL,NO_RESPONSE
NETSUITE_SIM,ACT-NET-015-1,NET-C015,NET-I015-11,2026-07-13,CALL,PROMISE_RECEIVED
NETSUITE_SIM,ACT-NET-015-2,NET-C015,NET-I015-11,2026-07-25,EMAIL,NO_RESPONSE
NETSUITE_SIM,ACT-NET-016-1,NET-C016,NET-I016-11,2026-07-13,CALL,PROMISE_RECEIVED
NETSUITE_SIM,ACT-NET-016-2,NET-C016,NET-I016-11,2026-07-25,EMAIL,NO_RESPONSE
NETSUITE_SIM,ACT-NET-017-1,NET-C017,NET-I017-11,2026-07-13,CALL,PROMISE_RECEIVED
NETSUITE_SIM,ACT-NET-017-2,NET-C017,NET-I017-11,2026-07-25,EMAIL,NO_RESPONSE
NETSUITE_SIM,ACT-NET-018-1,NET-C018,NET-I018-11,2026-07-13,CALL,PROMISE_RECEIVED
NETSUITE_SIM,ACT-NET-018-2,NET-C018,NET-I018-11,2026-07-25,EMAIL,NO_RESPONSE
