source_system,deduction_id,customer_id,invoice_id,payment_id,reason_code,amount,status
NETSUITE_SIM,D-NET-P001-08,NET-C001,NET-I001-09,NET-P001-08,FREIGHT_SHORTAGE,100.0,VALIDATED
NETSUITE_SIM,D-NET-P002-08,NET-C002,NET-I002-09,NET-P002-08,FREIGHT_SHORTAGE,100.0,VALIDATED
NETSUITE_SIM,D-NET-P003-08,NET-C003,NET-I003-09,NET-P003-08,FREIGHT_SHORTAGE,100.0,VALIDATED
NETSUITE_SIM,D-NET-P004-08,NET-C004,NET-I004-09,NET-P004-08,FREIGHT_SHORTAGE,100.0,VALIDATED
NETSUITE_SIM,D-NET-P005-08,NET-C005,NET-I005-09,NET-P005-08,FREIGHT_SHORTAGE,100.0,VALIDATED
NETSUITE_SIM,D-NET-P006-08,NET-C006,NET-I006-09,NET-P006-08,FREIGHT_SHORTAGE,100.0,VALIDATED
NETSUITE_SIM,D-NET-P007-08,NET-C007,NET-I007-09,NET-P007-08,FREIGHT_SHORTAGE,100.0,VALIDATED
NETSUITE_SIM,D-NET-P008-08,NET-C008,NET-I008-09,NET-P008-08,FREIGHT_SHORTAGE,100.0,VALIDATED
NETSUITE_SIM,D-NET-P009-08,NET-C009,NET-I009-09,NET-P009-08,FREIGHT_SHORTAGE,100.0,VALIDATED
NETSUITE_SIM,D-NET-P010-08,NET-C010,NET-I010-09,NET-P010-08,FREIGHT_SHORTAGE,100.0,VALIDATED
NETSUITE_SIM,D-NET-P011-08,NET-C011,NET-I011-09,NET-P011-08,FREIGHT_SHORTAGE,100.0,VALIDATED
NETSUITE_SIM,D-NET-P012-08,NET-C012,NET-I012-09,NET-P012-08,FREIGHT_SHORTAGE,100.0,VALIDATED
NETSUITE_SIM,D-NET-P013-08,NET-C013,NET-I013-09,NET-P013-08,FREIGHT_SHORTAGE,100.0,VALIDATED
NETSUITE_SIM,D-NET-P014-08,NET-C014,NET-I014-09,NET-P014-08,FREIGHT_SHORTAGE,100.0,VALIDATED
NETSUITE_SIM,D-NET-P015-08,NET-C015,NET-I015-09,NET-P015-08,FREIGHT_SHORTAGE,100.0,VALIDATED
NETSUITE_SIM,D-NET-P016-08,NET-C016,NET-I016-09,NET-P016-08,FREIGHT_SHORTAGE,100.0,VALIDATED
NETSUITE_SIM,D-NET-P017-08,NET-C017,NET-I017-09,NET-P017-08,FREIGHT_SHORTAGE,100.0,VALIDATED
NETSUITE_SIM,D-NET-P018-08,NET-C018,NET-I018-09,NET-P018-08,FREIGHT_SHORTAGE,100.0,VALIDATED
