source_system,promise_id,customer_id,invoice_id,promise_date,promised_amount,status
ORACLE_FUSION_SIM,PTP-ORA-002,ORA-C002,ORA-I002-11,2026-07-19,5039.76,BROKEN
ORACLE_FUSION_SIM,PTP-ORA-003,ORA-C003,ORA-I003-11,2026-07-19,4653.97,BROKEN
ORACLE_FUSION_SIM,PTP-ORA-004,ORA-C004,ORA-I004-11,2026-07-19,5139.75,BROKEN
ORACLE_FUSION_SIM,PTP-ORA-005,ORA-C005,ORA-I005-11,2026-07-19,4984.51,BROKEN
ORACLE_FUSION_SIM,PTP-ORA-006,ORA-C006,ORA-I006-11,2026-07-19,5501.3,BROKEN
ORACLE_FUSION_SIM,PTP-ORA-007,ORA-C007,ORA-I007-11,2026-07-19,5221.24,BROKEN
ORACLE_FUSION_SIM,PTP-ORA-008,ORA-C008,ORA-I008-11,2026-07-19,5256.16,BROKEN
ORACLE_FUSION_SIM,PTP-ORA-009,ORA-C009,ORA-I009-11,2026-07-19,5476.65,BROKEN
ORACLE_FUSION_SIM,PTP-ORA-010,ORA-C010,ORA-I010-11,2026-07-19,5570.69,BROKEN
ORACLE_FUSION_SIM,PTP-ORA-011,ORA-C011,ORA-I011-11,2026-07-19,6141.72,BROKEN
ORACLE_FUSION_SIM,PTP-ORA-012,ORA-C012,ORA-I012-11,2026-07-19,6200.16,BROKEN
ORACLE_FUSION_SIM,PTP-ORA-013,ORA-C013,ORA-I013-11,2026-07-19,5928.73,BROKEN
ORACLE_FUSION_SIM,PTP-ORA-014,ORA-C014,ORA-I014-11,2026-07-19,6093.55,BROKEN
ORACLE_FUSION_SIM,PTP-ORA-015,ORA-C015,ORA-I015-11,2026-07-19,6184.25,BROKEN
ORACLE_FUSION_SIM,PTP-ORA-016,ORA-C016,ORA-I016-11,2026-07-19,6943.57,BROKEN
ORACLE_FUSION_SIM,PTP-ORA-017,ORA-C017,ORA-I017-11,2026-07-19,6463.36,BROKEN
ORACLE_FUSION_SIM,PTP-ORA-018,ORA-C018,ORA-I018-11,2026-07-19,7020.18,BROKEN
NETSUITE_SIM,PTP-NET-001,NET-C001,NET-I001-11,2026-07-19,4299.77,BROKEN
NETSUITE_SIM,PTP-NET-002,NET-C002,NET-I002-11,2026-07-19,4804.22,BROKEN
NETSUITE_SIM,PTP-NET-003,NET-C003,NET-I003-11,2026-07-19,4954.23,BROKEN
NETSUITE_SIM,PTP-NET-004,NET-C004,NET-I004-11,2026-07-19,5086.0,BROKEN
NETSUITE_SIM,PTP-NET-005,NET-C005,NET-I005-11,2026-07-19,5447.81,BROKEN
NETSUITE_SIM,PTP-NET-006,NET-C006,NET-I006-11,2026-07-19,5388.93,BROKEN
NETSUITE_SIM,PTP-NET-007,NET-C007,NET-I007-11,2026-07-19,5639.7,BROKEN
NETSUITE_SIM,PTP-NET-008,NET-C008,NET-I008-11,2026-07-19,5525.95,BROKEN
NETSUITE_SIM,PTP-NET-009,NET-C009,NET-I009-11,2026-07-19,5392.44,BROKEN
NETSUITE_SIM,PTP-NET-010,NET-C010,NET-I010-11,2026-07-19,5888.48,BROKEN
NETSUITE_SIM,PTP-NET-011,NET-C011,NET-I011-11,2026-07-19,5913.26,BROKEN
NETSUITE_SIM,PTP-NET-012,NET-C012,NET-I012-11,2026-07-19,6389.78,BROKEN
NETSUITE_SIM,PTP-NET-013,NET-C013,NET-I013-11,2026-07-19,6171.91,BROKEN
NETSUITE_SIM,PTP-NET-014,NET-C014,NET-I014-11,2026-07-19,6334.35,BROKEN
NETSUITE_SIM,PTP-NET-015,NET-C015,NET-I015-11,2026-07-19,6866.37,BROKEN
NETSUITE_SIM,PTP-NET-016,NET-C016,NET-I016-11,2026-07-19,6629.47,BROKEN
NETSUITE_SIM,PTP-NET-017,NET-C017,NET-I017-11,2026-07-19,7088.37,BROKEN
NETSUITE_SIM,PTP-NET-018,NET-C018,NET-I018-11,2026-07-19,6900.66,BROKEN
