source_system,remittance_id,payment_id,invoice_refs,stated_amount
SAP_S4HANA_SIM,R-SAP-P006-08,SAP-P006-08,INV-100609,4889.28
SAP_S4HANA_SIM,R-SAP-P007-01,SAP-P007-01,INV-100701,3207.51
SAP_S4HANA_SIM,R-SAP-P007-02,SAP-P007-02,INV-100702,1954.49
SAP_S4HANA_SIM,R-SAP-P007-03,SAP-P007-03,INV-100703,3650.15
SAP_S4HANA_SIM,R-SAP-P007-04,SAP-P007-04,INV-100704|INV-100705,7710.110000000001
SAP_S4HANA_SIM,R-SAP-P007-05A,SAP-P007-05A,INV-100706,2086.71
SAP_S4HANA_SIM,R-SAP-P007-05B,SAP-P007-05B,INV-100706,2550.4300000000003
SAP_S4HANA_SIM,R-SAP-P007-07,SAP-P007-07,INV-100708,5550.5
SAP_S4HANA_SIM,R-SAP-P007-08,SAP-P007-08,INV-100709,4593.41
SAP_S4HANA_SIM,R-SAP-P008-01,SAP-P008-01,INV-100801,3239.93
SAP_S4HANA_SIM,R-SAP-P008-02,SAP-P008-02,INV-100802,2397.66
SAP_S4HANA_SIM,R-SAP-P008-03,SAP-P008-03,INV-100803,4169.02
SAP_S4HANA_SIM,R-SAP-P008-04,SAP-P008-04,INV-100804|INV-100805,8249.68
SAP_S4HANA_SIM,R-SAP-P008-05A,SAP-P008-05A,INV-100806,2031.3
SAP_S4HANA_SIM,R-SAP-P008-05B,SAP-P008-05B,INV-100806,2482.7
SAP_S4HANA_SIM,R-SAP-P008-07,SAP-P008-07,INV-100808,5781.47
SAP_S4HANA_SIM,R-SAP-P008-08,SAP-P008-08,INV-100809,5290.94
SAP_S4HANA_SIM,R-SAP-P009-01,SAP-P009-01,INV-100901,3465.32
SAP_S4HANA_SIM,R-SAP-P009-02,SAP-P009-02,INV-100902,2466.01
SAP_S4HANA_SIM,R-SAP-P009-03,SAP-P009-03,INV-100903,4111.8
SAP_S4HANA_SIM,R-SAP-P009-04,SAP-P009-04,INV-100904|INV-100905,9038.61
SAP_S4HANA_SIM,R-SAP-P009-05A,SAP-P009-05A,INV-100906,2018.09
SAP_S4HANA_SIM,R-SAP-P009-05B,SAP-P009-05B,INV-100906,2466.55
SAP_S4HANA_SIM,R-SAP-P009-07,SAP-P009-07,INV-100908,5478.61
SAP_S4HANA_SIM,R-SAP-P009-08,SAP-P009-08,INV-100909,5138.73
SAP_S4HANA_SIM,R-SAP-P010-01,SAP-P010-01,INV-101001,3862.25
SAP_S4HANA_SIM,R-SAP-P010-02,SAP-P010-02,INV-101002,2266.07
SAP_S4HANA_SIM,R-SAP-P010-03,SAP-P010-03,INV-101003,4103.78
SAP_S4HANA_SIM,R-SAP-P010-04,SAP-P010-04,INV-101004|INV-101005,8571.06
SAP_S4HANA_SIM,R-SAP-P010-05A,SAP-P010-05A,INV-101006,2010.09
SAP_S4HANA_SIM,R-SAP-P010-05B,SAP-P010-05B,INV-101006,2456.7699999999995
SAP_S4HANA_SIM,R-SAP-P010-07,SAP-P010-07,INV-101008,6097.31
SAP_S4HANA_SIM,R-SAP-P010-08,SAP-P010-08,INV-101009,5487.86
SAP_S4HANA_SIM,R-SAP-P011-01,SAP-P011-01,INV-101101,3589.96
SAP_S4HANA_SIM,R-SAP-P011-02,SAP-P011-02,INV-101102,2472.55
SAP_S4HANA_SIM,R-SAP-P011-03,SAP-P011-03,INV-101103,4349.46
SAP_S4HANA_SIM,R-SAP-P011-04,SAP-P011-04,INV-101104|INV-101105,9642.85
SAP_S4HANA_SIM,R-SAP-P011-05A,SAP-P011-05A,INV-101106,2313.24
SAP_S4HANA_SIM,R-SAP-P011-05B,SAP-P011-05B,INV-101106,2827.3
SAP_S4HANA_SIM,R-SAP-P011-07,SAP-P011-07,INV-101108,6205.98
SAP_S4HANA_SIM,R-SAP-P011-08,SAP-P011-08,INV-101109,5757.57
SAP_S4HANA_SIM,R-SAP-P012-01,SAP-P012-01,INV-101201,4260.05
SAP_S4HANA_SIM,R-SAP-P012-02,SAP-P012-02,INV-101202,2436.83
SAP_S4HANA_SIM,R-SAP-P012-03,SAP-P012-03,INV-101203,4558.58
SAP_S4HANA_SIM,R-SAP-P012-04,SAP-P012-04,INV-101204|INV-101205,9705.6
SAP_S4HANA_SIM,R-SAP-P012-05A,SAP-P012-05A,INV-101206,2155.83
SAP_S4HANA_SIM,R-SAP-P012-05B,SAP-P012-05B,INV-101206,2634.91
SAP_S4HANA_SIM,R-SAP-P012-07,SAP-P012-07,INV-101208,5675.13
SAP_S4HANA_SIM,R-SAP-P012-08,SAP-P012-08,INV-101209,5547.19
SAP_S4HANA_SIM,R-SAP-P013-01,SAP-P013-01,INV-101301,4385.61
SAP_S4HANA_SIM,R-SAP-P013-02,SAP-P013-02,INV-101302,2779.82
SAP_S4HANA_SIM,R-SAP-P013-03,SAP-P013-03,INV-101303,4555.5
SAP_S4HANA_SIM,R-SAP-P013-04,SAP-P013-04,INV-101304|INV-101305,9496.29
SAP_S4HANA_SIM,R-SAP-P013-05A,SAP-P013-05A,INV-101306,2241.58
SAP_S4HANA_SIM,R-SAP-P013-05B,SAP-P013-05B,INV-101306,2739.71
SAP_S4HANA_SIM,R-SAP-P013-07,SAP-P013-07,INV-101308,6372.69
SAP_S4HANA_SIM,R-SAP-P013-08,SAP-P013-08,INV-101309,5810.86
SAP_S4HANA_SIM,R-SAP-P014-01,SAP-P014-01,INV-101401,4595.4
SAP_S4HANA_SIM,R-SAP-P014-02,SAP-P014-02,INV-101402,2766.58
SAP_S4HANA_SIM,R-SAP-P014-03,SAP-P014-03,INV-101403,5040.59
SAP_S4HANA_SIM,R-SAP-P014-04,SAP-P014-04,INV-101404|INV-101405,10040.86
SAP_S4HANA_SIM,R-SAP-P014-05A,SAP-P014-05A,INV-101406,2510.47
SAP_S4HANA_SIM,R-SAP-P014-05B,SAP-P014-05B,INV-101406,3068.35
SAP_S4HANA_SIM,R-SAP-P014-07,SAP-P014-07,INV-101408,6390.01
SAP_S4HANA_SIM,R-SAP-P014-08,SAP-P014-08,INV-101409,6004.45
SAP_S4HANA_SIM,R-SAP-P015-01,SAP-P015-01,INV-101501,4636.5
SAP_S4HANA_SIM,R-SAP-P015-02,SAP-P015-02,INV-101502,2745.43
SAP_S4HANA_SIM,R-SAP-P015-03,SAP-P015-03,INV-101503,4925.14
SAP_S4HANA_SIM,R-SAP-P015-04,SAP-P015-04,INV-101504|INV-101505,10444.61
SAP_S4HANA_SIM,R-SAP-P015-05A,SAP-P015-05A,INV-101506,2382.33
SAP_S4HANA_SIM,R-SAP-P015-05B,SAP-P015-05B,INV-101506,2911.74
SAP_S4HANA_SIM,R-SAP-P015-07,SAP-P015-07,INV-101508,6499.22
SAP_S4HANA_SIM,R-SAP-P015-08,SAP-P015-08,INV-101509,5821.47
SAP_S4HANA_SIM,R-SAP-P016-01,SAP-P016-01,INV-101601,4347.78
SAP_S4HANA_SIM,R-SAP-P016-02,SAP-P016-02,INV-101602,2811.98
SAP_S4HANA_SIM,R-SAP-P016-03,SAP-P016-03,INV-101603,5158.86
SAP_S4HANA_SIM,R-SAP-P016-04,SAP-P016-04,INV-101604|INV-101605,10299.65
SAP_S4HANA_SIM,R-SAP-P016-05A,SAP-P016-05A,INV-101606,2367.96
SAP_S4HANA_SIM,R-SAP-P016-05B,SAP-P016-05B,INV-101606,2894.17
SAP_S4HANA_SIM,R-SAP-P016-07,SAP-P016-07,INV-101608,6905.71
SAP_S4HANA_SIM,R-SAP-P016-08,SAP-P016-08,INV-101609,6084.31
SAP_S4HANA_SIM,R-SAP-P017-01,SAP-P017-01,INV-101701,4789.92
SAP_S4HANA_SIM,R-SAP-P017-02,SAP-P017-02,INV-101702,3094.68
SAP_S4HANA_SIM,R-SAP-P017-03,SAP-P017-03,INV-101703,4922.2
SAP_S4HANA_SIM,R-SAP-P017-04,SAP-P017-04,INV-101704|INV-101705,10614.939999999999
SAP_S4HANA_SIM,R-SAP-P017-05A,SAP-P017-05A,INV-101706,2704.84
SAP_S4HANA_SIM,R-SAP-P017-05B,SAP-P017-05B,INV-101706,3305.91
SAP_S4HANA_SIM,R-SAP-P017-07,SAP-P017-07,INV-101708,6722.66
SAP_S4HANA_SIM,R-SAP-P017-08,SAP-P017-08,INV-101709,5985.33
SAP_S4HANA_SIM,R-SAP-P018-01,SAP-P018-01,INV-101801,4901.12
SAP_S4HANA_SIM,R-SAP-P018-02,SAP-P018-02,INV-101802,3114.51
SAP_S4HANA_SIM,R-SAP-P018-03,SAP-P018-03,INV-101803,5597.51
SAP_S4HANA_SIM,R-SAP-P018-04,SAP-P018-04,INV-101804|INV-101805,11156.89
SAP_S4HANA_SIM,R-SAP-P018-05A,SAP-P018-05A,INV-101806,2702.76
SAP_S4HANA_SIM,R-SAP-P018-05B,SAP-P018-05B,INV-101806,3303.38
SAP_S4HANA_SIM,R-SAP-P018-07,SAP-P018-07,INV-101808,6702.13
SAP_S4HANA_SIM,R-SAP-P018-08,SAP-P018-08,INV-101809,6548.43
ORACLE_FUSION_SIM,R-ORA-P001-01,ORA-P001-01,INV-200101,2802.58
ORACLE_FUSION_SIM,R-ORA-P001-02,ORA-P001-02,INV-200102,1620.91
ORACLE_FUSION_SIM,R-ORA-P001-03,ORA-P001-03,INV-200103,3226.53
ORACLE_FUSION_SIM,R-ORA-P001-04,ORA-P001-04,INV-200104|INV-200105,6542.73
ORACLE_FUSION_SIM,R-ORA-P001-05A,ORA-P001-05A,INV-200106,1600.82
ORACLE_FUSION_SIM,R-ORA-P001-05B,ORA-P001-05B,INV-200106,1956.5600000000002
ORACLE_FUSION_SIM,R-ORA-P001-07,ORA-P001-07,INV-200108,4038.78
ORACLE_FUSION_SIM,R-ORA-P001-08,ORA-P001-08,INV-200109,4270.48
ORACLE_FUSION_SIM,R-ORA-P002-01,ORA-P002-01,INV-200201,2576.72
ORACLE_FUSION_SIM,R-ORA-P002-02,ORA-P002-02,INV-200202,1814.75
ORACLE_FUSION_SIM,R-ORA-P002-03,ORA-P002-03,INV-200203,3316.51
ORACLE_FUSION_SIM,R-ORA-P002-04,ORA-P002-04,INV-200204|INV-200205,6494.49
ORACLE_FUSION_SIM,R-ORA-P002-05A,ORA-P002-05A,INV-200206,1568.12
ORACLE_FUSION_SIM,R-ORA-P002-05B,ORA-P002-05B,INV-200206,1916.6
ORACLE_FUSION_SIM,R-ORA-P002-07,ORA-P002-07,INV-200208,4527.3
ORACLE_FUSION_SIM,R-ORA-P002-08,ORA-P002-08,INV-200209,4017.9
ORACLE_FUSION_SIM,R-ORA-P003-01,ORA-P003-01,INV-200301,2624.26
ORACLE_FUSION_SIM,R-ORA-P003-02,ORA-P003-02,INV-200302,1817.29
ORACLE_FUSION_SIM,R-ORA-P003-03,ORA-P003-03,INV-200303,3243.33
ORACLE_FUSION_SIM,R-ORA-P003-04,ORA-P003-04,INV-200304|INV-200305,7239.620000000001
ORACLE_FUSION_SIM,R-ORA-P003-05A,ORA-P003-05A,INV-200306,1795.98
ORACLE_FUSION_SIM,R-ORA-P003-05B,ORA-P003-05B,INV-200306,2195.08
ORACLE_FUSION_SIM,R-ORA-P003-07,ORA-P003-07,INV-200308,5022.67
ORACLE_FUSION_SIM,R-ORA-P003-08,ORA-P003-08,INV-200309,4245.87
ORACLE_FUSION_SIM,R-ORA-P004-01,ORA-P004-01,INV-200401,2913.71
ORACLE_FUSION_SIM,R-ORA-P004-02,ORA-P004-02,INV-200402,1763.59
ORACLE_FUSION_SIM,R-ORA-P004-03,ORA-P004-03,INV-200403,3414.08
ORACLE_FUSION_SIM,R-ORA-P004-04,ORA-P004-04,INV-200404|INV-200405,7076.86
ORACLE_FUSION_SIM,R-ORA-P004-05A,ORA-P004-05A,INV-200406,1646.64
ORACLE_FUSION_SIM,R-ORA-P004-05B,ORA-P004-05B,INV-200406,2012.5599999999997
ORACLE_FUSION_SIM,R-ORA-P004-07,ORA-P004-07,INV-200408,4466.99
ORACLE_FUSION_SIM,R-ORA-P004-08,ORA-P004-08,INV-200409,4758.88
ORACLE_FUSION_SIM,R-ORA-P005-01,ORA-P005-01,INV-200501,2850.0
ORACLE_FUSION_SIM,R-ORA-P005-02,ORA-P005-02,INV-200502,1880.68
ORACLE_FUSION_SIM,R-ORA-P005-03,ORA-P005-03,INV-200503,3526.08
ORACLE_FUSION_SIM,R-ORA-P005-04,ORA-P005-04,INV-200504|INV-200505,7591.7699999999995
ORACLE_FUSION_SIM,R-ORA-P005-05A,ORA-P005-05A,INV-200506,1940.15
ORACLE_FUSION_SIM,R-ORA-P005-05B,ORA-P005-05B,INV-200506,2371.2899999999995
ORACLE_FUSION_SIM,R-ORA-P005-07,ORA-P005-07,INV-200508,4684.13
ORACLE_FUSION_SIM,R-ORA-P005-08,ORA-P005-08,INV-200509,4575.96
ORACLE_FUSION_SIM,R-ORA-P006-01,ORA-P006-01,INV-200601,3399.23
ORACLE_FUSION_SIM,R-ORA-P006-02,ORA-P006-02,INV-200602,1863.4
ORACLE_FUSION_SIM,R-ORA-P006-03,ORA-P006-03,INV-200603,3394.76
ORACLE_FUSION_SIM,R-ORA-P006-04,ORA-P006-04,INV-200604|INV-200605,7267.1
ORACLE_FUSION_SIM,R-ORA-P006-05A,ORA-P006-05A,INV-200606,1878.3
ORACLE_FUSION_SIM,R-ORA-P006-05B,ORA-P006-05B,INV-200606,2295.6899999999996
ORACLE_FUSION_SIM,R-ORA-P006-07,ORA-P006-07,INV-200608,5419.98
ORACLE_FUSION_SIM,R-ORA-P006-08,ORA-P006-08,INV-200609,4449.38
ORACLE_FUSION_SIM,R-ORA-P007-01,ORA-P007-01,INV-200701,3434.25
ORACLE_FUSION_SIM,R-ORA-P007-02,ORA-P007-02,INV-200702,2091.28
ORACLE_FUSION_SIM,R-ORA-P007-03,ORA-P007-03,INV-200703,3536.63
ORACLE_FUSION_SIM,R-ORA-P007-04,ORA-P007-04,INV-200704|INV-200705,8082.62
ORACLE_FUSION_SIM,R-ORA-P007-05A,ORA-P007-05A,INV-200706,2004.63
ORACLE_FUSION_SIM,R-ORA-P007-05B,ORA-P007-05B,INV-200706,2450.1099999999997
ORACLE_FUSION_SIM,R-ORA-P007-07,ORA-P007-07,INV-200708,5505.47
ORACLE_FUSION_SIM,R-ORA-P007-08,ORA-P007-08,INV-200709,4864.7
ORACLE_FUSION_SIM,R-ORA-P008-01,ORA-P008-01,INV-200801,3258.36
ORACLE_FUSION_SIM,R-ORA-P008-02,ORA-P008-02,INV-200802,2263.79
ORACLE_FUSION_SIM,R-ORA-P008-03,ORA-P008-03,INV-200803,4213.61
ORACLE_FUSION_SIM,R-ORA-P008-04,ORA-P008-04,INV-200804|INV-200805,8652.66
ORACLE_FUSION_SIM,R-ORA-P008-05A,ORA-P008-05A,INV-200806,2068.51
ORACLE_FUSION_SIM,R-ORA-P008-05B,ORA-P008-05B,INV-200806,2528.17
ORACLE_FUSION_SIM,R-ORA-P008-07,ORA-P008-07,INV-200808,5415.47
ORACLE_FUSION_SIM,R-ORA-P008-08,ORA-P008-08,INV-200809,5142.82
ORACLE_FUSION_SIM,R-ORA-P009-01,ORA-P009-01,INV-200901,3458.43
ORACLE_FUSION_SIM,R-ORA-P009-02,ORA-P009-02,INV-200902,2429.07
ORACLE_FUSION_SIM,R-ORA-P009-03,ORA-P009-03,INV-200903,4130.29
ORACLE_FUSION_SIM,R-ORA-P009-04,ORA-P009-04,INV-200904|INV-200905,9275.810000000001
ORACLE_FUSION_SIM,R-ORA-P009-05A,ORA-P009-05A,INV-200906,2046.27
ORACLE_FUSION_SIM,R-ORA-P009-05B,ORA-P009-05B,INV-200906,2501.0000000000005
ORACLE_FUSION_SIM,R-ORA-P009-07,ORA-P009-07,INV-200908,5855.4
ORACLE_FUSION_SIM,R-ORA-P009-08,ORA-P009-08,INV-200909,5052.03
ORACLE_FUSION_SIM,R-ORA-P010-01,ORA-P010-01,INV-201001,3564.93
ORACLE_FUSION_SIM,R-ORA-P010-02,ORA-P010-02,INV-201002,2368.16
ORACLE_FUSION_SIM,R-ORA-P010-03,ORA-P010-03,INV-201003,4423.61
ORACLE_FUSION_SIM,R-ORA-P010-04,ORA-P010-04,INV-201004|INV-201005,9227.96
ORACLE_FUSION_SIM,R-ORA-P010-05A,ORA-P010-05A,INV-201006,2133.1
ORACLE_FUSION_SIM,R-ORA-P010-05B,ORA-P010-05B,INV-201006,2607.1200000000003
ORACLE_FUSION_SIM,R-ORA-P010-07,ORA-P010-07,INV-201008,5546.03
ORACLE_FUSION_SIM,R-ORA-P010-08,ORA-P010-08,INV-201009,5461.46
ORACLE_FUSION_SIM,R-ORA-P011-01,ORA-P011-01,INV-201101,3617.1
ORACLE_FUSION_SIM,R-ORA-P011-02,ORA-P011-02,INV-201102,2358.68
ORACLE_FUSION_SIM,R-ORA-P011-03,ORA-P011-03,INV-201103,4437.83
ORACLE_FUSION_SIM,R-ORA-P011-04,ORA-P011-04,INV-201104|INV-201105,9069.240000000002
ORACLE_FUSION_SIM,R-ORA-P011-05A,ORA-P011-05A,INV-201106,2208.41
ORACLE_FUSION_SIM,R-ORA-P011-05B,ORA-P011-05B,INV-201106,2699.16
ORACLE_FUSION_SIM,R-ORA-P011-07,ORA-P011-07,INV-201108,5731.85
ORACLE_FUSION_SIM,R-ORA-P011-08,ORA-P011-08,INV-201109,5742.17
ORACLE_FUSION_SIM,R-ORA-P012-01,ORA-P012-01,INV-201201,3796.74
ORACLE_FUSION_SIM,R-ORA-P012-02,ORA-P012-02,INV-201202,2555.8
ORACLE_FUSION_SIM,R-ORA-P012-03,ORA-P012-03,INV-201203,4743.7
ORACLE_FUSION_SIM,R-ORA-P012-04,ORA-P012-04,INV-201204|INV-201205,9363.34
ORACLE_FUSION_SIM,R-ORA-P012-05A,ORA-P012-05A,INV-201206,2156.11
ORACLE_FUSION_SIM,R-ORA-P012-05B,ORA-P012-05B,INV-201206,2635.2400000000002
ORACLE_FUSION_SIM,R-ORA-P012-07,ORA-P012-07,INV-201208,6344.91
ORACLE_FUSION_SIM,R-ORA-P012-08,ORA-P012-08,INV-201209,5381.47
ORACLE_FUSION_SIM,R-ORA-P013-01,ORA-P013-01,INV-201301,4153.99
ORACLE_FUSION_SIM,R-ORA-P013-02,ORA-P013-02,INV-201302,2808.67
ORACLE_FUSION_SIM,R-ORA-P013-03,ORA-P013-03,INV-201303,4604.95
ORACLE_FUSION_SIM,R-ORA-P013-04,ORA-P013-04,INV-201304|INV-201305,9274.79
ORACLE_FUSION_SIM,R-ORA-P013-05A,ORA-P013-05A,INV-201306,2297.67
ORACLE_FUSION_SIM,R-ORA-P013-05B,ORA-P013-05B,INV-201306,2808.2699999999995
ORACLE_FUSION_SIM,R-ORA-P013-07,ORA-P013-07,INV-201308,6530.05
ORACLE_FUSION_SIM,R-ORA-P013-08,ORA-P013-08,INV-201309,5876.81
ORACLE_FUSION_SIM,R-ORA-P014-01,ORA-P014-01,INV-201401,4458.92
ORACLE_FUSION_SIM,R-ORA-P014-02,ORA-P014-02,INV-201402,2827.17
ORACLE_FUSION_SIM,R-ORA-P014-03,ORA-P014-03,INV-201403,4710.52
ORACLE_FUSION_SIM,R-ORA-P014-04,ORA-P014-04,INV-201404|INV-201405,9960.369999999999
ORACLE_FUSION_SIM,R-ORA-P014-05A,ORA-P014-05A,INV-201406,2439.34
ORACLE_FUSION_SIM,R-ORA-P014-05B,ORA-P014-05B,INV-201406,2981.41
ORACLE_FUSION_SIM,R-ORA-P014-07,ORA-P014-07,INV-201408,6462.01
ORACLE_FUSION_SIM,R-ORA-P014-08,ORA-P014-08,INV-201409,5742.99
ORACLE_FUSION_SIM,R-ORA-P015-01,ORA-P015-01,INV-201501,4410.0
ORACLE_FUSION_SIM,R-ORA-P015-02,ORA-P015-02,INV-201502,2633.12
ORACLE_FUSION_SIM,R-ORA-P015-03,ORA-P015-03,INV-201503,4699.76
ORACLE_FUSION_SIM,R-ORA-P015-04,ORA-P015-04,INV-201504|INV-201505,10331.16
ORACLE_FUSION_SIM,R-ORA-P015-05A,ORA-P015-05A,INV-201506,2391.24
ORACLE_FUSION_SIM,R-ORA-P015-05B,ORA-P015-05B,INV-201506,2922.63
ORACLE_FUSION_SIM,R-ORA-P015-07,ORA-P015-07,INV-201508,6529.41
ORACLE_FUSION_SIM,R-ORA-P015-08,ORA-P015-08,INV-201509,5847.88
ORACLE_FUSION_SIM,R-ORA-P016-01,ORA-P016-01,INV-201601,4360.93
ORACLE_FUSION_SIM,R-ORA-P016-02,ORA-P016-02,INV-201602,2771.44
ORACLE_FUSION_SIM,R-ORA-P016-03,ORA-P016-03,INV-201603,5306.12
ORACLE_FUSION_SIM,R-ORA-P016-04,ORA-P016-04,INV-201604|INV-201605,10146.41
ORACLE_FUSION_SIM,R-ORA-P016-05A,ORA-P016-05A,INV-201606,2476.18
ORACLE_FUSION_SIM,R-ORA-P016-05B,ORA-P016-05B,INV-201606,3026.44
ORACLE_FUSION_SIM,R-ORA-P016-07,ORA-P016-07,INV-201608,6529.87
ORACLE_FUSION_SIM,R-ORA-P016-08,ORA-P016-08,INV-201609,6171.31
ORACLE_FUSION_SIM,R-ORA-P017-01,ORA-P017-01,INV-201701,4588.06
ORACLE_FUSION_SIM,R-ORA-P017-02,ORA-P017-02,INV-201702,2980.21
ORACLE_FUSION_SIM,R-ORA-P017-03,ORA-P017-03,INV-201703,5009.42
ORACLE_FUSION_SIM,R-ORA-P017-04,ORA-P017-04,INV-201704|INV-201705,10769.64
ORACLE_FUSION_SIM,R-ORA-P017-05A,ORA-P017-05A,INV-201706,2620.39
ORACLE_FUSION_SIM,R-ORA-P017-05B,ORA-P017-05B,INV-201706,3202.7000000000003
ORACLE_FUSION_SIM,R-ORA-P017-07,ORA-P017-07,INV-201708,7144.3
ORACLE_FUSION_SIM,R-ORA-P017-08,ORA-P017-08,INV-201709,6213.69
ORACLE_FUSION_SIM,R-ORA-P018-01,ORA-P018-01,INV-201801,4723.2
ORACLE_FUSION_SIM,R-ORA-P018-02,ORA-P018-02,INV-201802,3065.27
ORACLE_FUSION_SIM,R-ORA-P018-03,ORA-P018-03,INV-201803,5565.31
ORACLE_FUSION_SIM,R-ORA-P018-04,ORA-P018-04,INV-201804|INV-201805,11146.89
ORACLE_FUSION_SIM,R-ORA-P018-05A,ORA-P018-05A,INV-201806,2576.68
ORACLE_FUSION_SIM,R-ORA-P018-05B,ORA-P018-05B,INV-201806,3149.27
ORACLE_FUSION_SIM,R-ORA-P018-07,ORA-P018-07,INV-201808,7222.82
ORACLE_FUSION_SIM,R-ORA-P018-08,ORA-P018-08,INV-201809,6657.92
NETSUITE_SIM,R-NET-P001-01,NET-P001-01,INV-300101,2218.93
NETSUITE_SIM,R-NET-P001-02,NET-P001-02,INV-300102,1592.35
NETSUITE_SIM,R-NET-P001-03,NET-P001-03,INV-300103,3178.5
NETSUITE_SIM,R-NET-P001-04,NET-P001-04,INV-300104|INV-300105,6699.84
NETSUITE_SIM,R-NET-P001-05A,NET-P001-05A,INV-300106,1710.12
NETSUITE_SIM,R-NET-P001-05B,NET-P001-05B,INV-300106,2090.1400000000003
NETSUITE_SIM,R-NET-P001-07,NET-P001-07,INV-300108,4724.49
NETSUITE_SIM,R-NET-P001-08,NET-P001-08,INV-300109,4139.06
NETSUITE_SIM,R-NET-P002-01,NET-P002-01,INV-300201,2617.96
