CUSTOMER_TRX_ID,BILL_TO_CUSTOMER_ID,TRX_NUMBER,TRX_DATE,DUE_DATE,INVOICE_CURRENCY_CODE,ORIGINAL_AMOUNT,AMOUNT_DUE_REMAINING,TRX_STATUS,TEST_SCENARIO
ORA-I004-01,ORA-C004,INV-200401,2026-04-02,2026-05-02,USD,2913.71,2913.71,OPEN,EXACT
ORA-I004-02,ORA-C004,INV-200402,2026-04-11,2026-05-11,USD,2939.32,2939.32,OPEN,PARTIAL
ORA-I004-03,ORA-C004,INV-200403,2026-04-18,2026-05-18,USD,3289.08,3289.08,OPEN,OVERPAYMENT
ORA-I004-04,ORA-C004,INV-200404,2026-04-26,2026-05-26,USD,3493.72,3493.72,OPEN,ONE_PAYMENT_MULTI_INVOICE
ORA-I004-05,ORA-C004,INV-200405,2026-05-06,2026-06-05,USD,3583.14,3583.14,OPEN,MULTI_PAYMENT_ONE_INVOICE
ORA-I004-06,ORA-C004,INV-200406,2026-05-15,2026-06-14,USD,3659.2,3659.2,OPEN,MISSING_REMITTANCE
ORA-I004-07,ORA-C004,INV-200407,2026-05-24,2026-06-23,EUR,3934.71,3934.71,OPEN,CURRENCY_TOLERANCE
ORA-I004-08,ORA-C004,INV-200408,2026-06-03,2026-07-03,USD,4060.03,4060.03,OPEN,SHORT_PAY_DEDUCTION
ORA-I004-09,ORA-C004,INV-200409,2026-06-11,2026-07-11,USD,4858.88,4858.88,OPEN,UNMATCHED_CASH
ORA-I004-10,ORA-C004,INV-200410,2026-06-21,2026-07-21,USD,4580.79,4580.79,OPEN,OPEN_PAST_DUE
ORA-I004-11,ORA-C004,INV-200411,2026-06-26,2026-07-26,USD,5139.75,5139.75,OPEN,BROKEN_PROMISE
ORA-I004-12,ORA-C004,INV-200412,2026-07-06,2026-08-05,USD,5579.24,5579.24,OPEN,EXACT
ORA-I005-01,ORA-C005,INV-200501,2026-03-30,2026-05-14,USD,2850.0,2850.0,OPEN,EXACT
ORA-I005-02,ORA-C005,INV-200502,2026-04-11,2026-05-26,USD,3134.46,3134.46,OPEN,PARTIAL
ORA-I005-03,ORA-C005,INV-200503,2026-04-15,2026-05-30,USD,3401.08,3401.08,OPEN,OVERPAYMENT
ORA-I005-04,ORA-C005,INV-200504,2026-04-23,2026-06-07,USD,3461.58,3461.58,OPEN,ONE_PAYMENT_MULTI_INVOICE
ORA-I005-05,ORA-C005,INV-200505,2026-05-03,2026-06-17,USD,4130.19,4130.19,OPEN,MULTI_PAYMENT_ONE_INVOICE
ORA-I005-06,ORA-C005,INV-200506,2026-05-11,2026-06-25,USD,4311.44,4311.44,OPEN,MISSING_REMITTANCE
ORA-I005-07,ORA-C005,INV-200507,2026-05-23,2026-07-07,EUR,4213.3,4213.3,OPEN,CURRENCY_TOLERANCE
ORA-I005-08,ORA-C005,INV-200508,2026-06-02,2026-07-17,USD,4258.69,4258.69,OPEN,SHORT_PAY_DEDUCTION
ORA-I005-09,ORA-C005,INV-200509,2026-06-11,2026-07-26,USD,4675.96,4675.96,OPEN,UNMATCHED_CASH
ORA-I005-10,ORA-C005,INV-200510,2026-06-17,2026-08-01,USD,5170.4,5170.4,OPEN,OPEN_PAST_DUE
ORA-I005-11,ORA-C005,INV-200511,2026-06-26,2026-08-10,USD,4984.51,4984.51,OPEN,BROKEN_PROMISE
ORA-I005-12,ORA-C005,INV-200512,2026-07-09,2026-08-23,USD,5687.71,5687.71,OPEN,EXACT
ORA-I006-01,ORA-C006,INV-200601,2026-04-02,2026-05-02,USD,3399.23,3399.23,OPEN,EXACT
ORA-I006-02,ORA-C006,INV-200602,2026-04-11,2026-05-11,USD,3105.67,3105.67,OPEN,PARTIAL
ORA-I006-03,ORA-C006,INV-200603,2026-04-14,2026-05-14,USD,3269.76,3269.76,OPEN,OVERPAYMENT
ORA-I006-04,ORA-C006,INV-200604,2026-04-24,2026-05-24,USD,3479.01,3479.01,OPEN,ONE_PAYMENT_MULTI_INVOICE
ORA-I006-05,ORA-C006,INV-200605,2026-05-07,2026-06-06,USD,3788.09,3788.09,OPEN,MULTI_PAYMENT_ONE_INVOICE
ORA-I006-06,ORA-C006,INV-200606,2026-05-11,2026-06-10,USD,4173.99,4173.99,OPEN,MISSING_REMITTANCE
ORA-I006-07,ORA-C006,INV-200607,2026-05-22,2026-06-21,EUR,4655.77,4655.77,OPEN,CURRENCY_TOLERANCE
ORA-I006-08,ORA-C006,INV-200608,2026-06-04,2026-07-04,USD,4926.33,4926.33,OPEN,SHORT_PAY_DEDUCTION
ORA-I006-09,ORA-C006,INV-200609,2026-06-13,2026-07-13,USD,4549.38,4549.38,OPEN,UNMATCHED_CASH
ORA-I006-10,ORA-C006,INV-200610,2026-06-19,2026-07-19,USD,4879.37,4879.37,OPEN,OPEN_PAST_DUE
ORA-I006-11,ORA-C006,INV-200611,2026-06-27,2026-07-27,USD,5501.3,5501.3,OPEN,BROKEN_PROMISE
ORA-I006-12,ORA-C006,INV-200612,2026-07-05,2026-08-04,USD,5823.12,5823.12,OPEN,EXACT
ORA-I007-01,ORA-C007,INV-200701,2026-03-30,2026-05-29,USD,3434.25,3434.25,OPEN,EXACT
ORA-I007-02,ORA-C007,INV-200702,2026-04-08,2026-06-07,USD,3485.46,3485.46,OPEN,PARTIAL
ORA-I007-03,ORA-C007,INV-200703,2026-04-20,2026-06-19,USD,3411.63,3411.63,OPEN,OVERPAYMENT
ORA-I007-04,ORA-C007,INV-200704,2026-04-28,2026-06-27,USD,4031.0,4031.0,OPEN,ONE_PAYMENT_MULTI_INVOICE
ORA-I007-05,ORA-C007,INV-200705,2026-05-08,2026-07-07,USD,4051.62,4051.62,OPEN,MULTI_PAYMENT_ONE_INVOICE
ORA-I007-06,ORA-C007,INV-200706,2026-05-16,2026-07-15,USD,4454.74,4454.74,OPEN,MISSING_REMITTANCE
ORA-I007-07,ORA-C007,INV-200707,2026-05-20,2026-07-19,EUR,4289.57,4289.57,OPEN,CURRENCY_TOLERANCE
ORA-I007-08,ORA-C007,INV-200708,2026-06-01,2026-07-31,USD,5005.41,5005.41,OPEN,SHORT_PAY_DEDUCTION
ORA-I007-09,ORA-C007,INV-200709,2026-06-09,2026-08-08,USD,4964.7,4964.7,OPEN,UNMATCHED_CASH
ORA-I007-10,ORA-C007,INV-200710,2026-06-17,2026-08-16,USD,5214.02,5214.02,OPEN,OPEN_PAST_DUE
ORA-I007-11,ORA-C007,INV-200711,2026-06-25,2026-08-24,USD,5221.24,5221.24,OPEN,BROKEN_PROMISE
ORA-I007-12,ORA-C007,INV-200712,2026-07-05,2026-09-03,USD,5915.28,5915.28,OPEN,EXACT
ORA-I008-01,ORA-C008,INV-200801,2026-04-01,2026-05-01,USD,3258.36,3258.36,OPEN,EXACT
ORA-I008-02,ORA-C008,INV-200802,2026-04-09,2026-05-09,USD,3772.98,3772.98,OPEN,PARTIAL
ORA-I008-03,ORA-C008,INV-200803,2026-04-14,2026-05-14,USD,4088.61,4088.61,OPEN,OVERPAYMENT
ORA-I008-04,ORA-C008,INV-200804,2026-04-23,2026-05-23,USD,4219.18,4219.18,OPEN,ONE_PAYMENT_MULTI_INVOICE
ORA-I008-05,ORA-C008,INV-200805,2026-05-02,2026-06-01,USD,4433.48,4433.48,OPEN,MULTI_PAYMENT_ONE_INVOICE
ORA-I008-06,ORA-C008,INV-200806,2026-05-11,2026-06-10,USD,4596.68,4596.68,OPEN,MISSING_REMITTANCE
ORA-I008-07,ORA-C008,INV-200807,2026-05-24,2026-06-23,EUR,4672.86,4672.86,OPEN,CURRENCY_TOLERANCE
ORA-I008-08,ORA-C008,INV-200808,2026-05-29,2026-06-28,USD,4923.97,4923.97,OPEN,SHORT_PAY_DEDUCTION
ORA-I008-09,ORA-C008,INV-200809,2026-06-09,2026-07-09,USD,5242.82,5242.82,OPEN,UNMATCHED_CASH
ORA-I008-10,ORA-C008,INV-200810,2026-06-22,2026-07-22,USD,5192.92,5192.92,OPEN,OPEN_PAST_DUE
ORA-I008-11,ORA-C008,INV-200811,2026-06-25,2026-07-25,USD,5256.16,5256.16,OPEN,BROKEN_PROMISE
ORA-I008-12,ORA-C008,INV-200812,2026-07-07,2026-08-06,USD,5826.96,5826.96,OPEN,EXACT
ORA-I009-01,ORA-C009,INV-200901,2026-03-29,2026-05-13,USD,3458.43,3458.43,OPEN,EXACT
ORA-I009-02,ORA-C009,INV-200902,2026-04-10,2026-05-25,USD,4048.45,4048.45,OPEN,PARTIAL
ORA-I009-03,ORA-C009,INV-200903,2026-04-15,2026-05-30,USD,4005.29,4005.29,OPEN,OVERPAYMENT
ORA-I009-04,ORA-C009,INV-200904,2026-04-24,2026-06-08,USD,4518.22,4518.22,OPEN,ONE_PAYMENT_MULTI_INVOICE
ORA-I009-05,ORA-C009,INV-200905,2026-05-08,2026-06-22,USD,4757.59,4757.59,OPEN,MULTI_PAYMENT_ONE_INVOICE
ORA-I009-06,ORA-C009,INV-200906,2026-05-11,2026-06-25,USD,4547.27,4547.27,OPEN,MISSING_REMITTANCE
ORA-I009-07,ORA-C009,INV-200907,2026-05-23,2026-07-07,EUR,5205.46,5205.46,OPEN,CURRENCY_TOLERANCE
ORA-I009-08,ORA-C009,INV-200908,2026-06-03,2026-07-18,USD,5322.25,5322.25,OPEN,SHORT_PAY_DEDUCTION
ORA-I009-09,ORA-C009,INV-200909,2026-06-11,2026-07-26,USD,5152.03,5152.03,OPEN,UNMATCHED_CASH
ORA-I009-10,ORA-C009,INV-200910,2026-06-21,2026-08-05,USD,5613.65,5613.65,OPEN,OPEN_PAST_DUE
ORA-I009-11,ORA-C009,INV-200911,2026-06-28,2026-08-12,USD,5476.65,5476.65,OPEN,BROKEN_PROMISE
ORA-I009-12,ORA-C009,INV-200912,2026-07-04,2026-08-18,USD,5880.17,5880.17,OPEN,EXACT
ORA-I010-01,ORA-C010,INV-201001,2026-03-29,2026-04-28,USD,3564.93,3564.93,OPEN,EXACT
ORA-I010-02,ORA-C010,INV-201002,2026-04-07,2026-05-07,USD,3946.93,3946.93,OPEN,PARTIAL
ORA-I010-03,ORA-C010,INV-201003,2026-04-16,2026-05-16,USD,4298.61,4298.61,OPEN,OVERPAYMENT
ORA-I010-04,ORA-C010,INV-201004,2026-04-28,2026-05-28,USD,4650.24,4650.24,OPEN,ONE_PAYMENT_MULTI_INVOICE
ORA-I010-05,ORA-C010,INV-201005,2026-05-05,2026-06-04,USD,4577.72,4577.72,OPEN,MULTI_PAYMENT_ONE_INVOICE
ORA-I010-06,ORA-C010,INV-201006,2026-05-16,2026-06-15,USD,4740.22,4740.22,OPEN,MISSING_REMITTANCE
ORA-I010-07,ORA-C010,INV-201007,2026-05-20,2026-06-19,EUR,5134.84,5134.84,OPEN,CURRENCY_TOLERANCE
ORA-I010-08,ORA-C010,INV-201008,2026-06-02,2026-07-02,USD,5042.77,5042.77,OPEN,SHORT_PAY_DEDUCTION
ORA-I010-09,ORA-C010,INV-201009,2026-06-13,2026-07-13,USD,5561.46,5561.46,OPEN,UNMATCHED_CASH
ORA-I010-10,ORA-C010,INV-201010,2026-06-20,2026-07-20,USD,5704.55,5704.55,OPEN,OPEN_PAST_DUE
ORA-I010-11,ORA-C010,INV-201011,2026-06-28,2026-07-28,USD,5570.69,5570.69,OPEN,BROKEN_PROMISE
ORA-I010-12,ORA-C010,INV-201012,2026-07-05,2026-08-04,USD,5813.15,5813.15,OPEN,EXACT
ORA-I011-01,ORA-C011,INV-201101,2026-03-30,2026-05-14,USD,3617.1,3617.1,OPEN,EXACT
ORA-I011-02,ORA-C011,INV-201102,2026-04-08,2026-05-23,USD,3931.14,3931.14,OPEN,PARTIAL
ORA-I011-03,ORA-C011,INV-201103,2026-04-16,2026-05-31,USD,4312.83,4312.83,OPEN,OVERPAYMENT
ORA-I011-04,ORA-C011,INV-201104,2026-04-29,2026-06-13,USD,4550.14,4550.14,OPEN,ONE_PAYMENT_MULTI_INVOICE
ORA-I011-05,ORA-C011,INV-201105,2026-05-08,2026-06-22,USD,4519.1,4519.1,OPEN,MULTI_PAYMENT_ONE_INVOICE
ORA-I011-06,ORA-C011,INV-201106,2026-05-13,2026-06-27,USD,4907.57,4907.57,OPEN,MISSING_REMITTANCE
ORA-I011-07,ORA-C011,INV-201107,2026-05-23,2026-07-07,EUR,4879.29,4879.29,OPEN,CURRENCY_TOLERANCE
ORA-I011-08,ORA-C011,INV-201108,2026-06-02,2026-07-17,USD,5211.21,5211.21,OPEN,SHORT_PAY_DEDUCTION
ORA-I011-09,ORA-C011,INV-201109,2026-06-09,2026-07-24,USD,5842.17,5842.17,OPEN,UNMATCHED_CASH
ORA-I011-10,ORA-C011,INV-201110,2026-06-18,2026-08-02,USD,5902.0,5902.0,OPEN,OPEN_PAST_DUE
ORA-I011-11,ORA-C011,INV-201111,2026-06-29,2026-08-13,USD,6141.72,6141.72,OPEN,BROKEN_PROMISE
ORA-I011-12,ORA-C011,INV-201112,2026-07-06,2026-08-20,USD,5892.08,5892.08,OPEN,EXACT
ORA-I012-01,ORA-C012,INV-201201,2026-04-02,2026-06-01,USD,3796.74,3796.74,OPEN,EXACT
ORA-I012-02,ORA-C012,INV-201202,2026-04-09,2026-06-08,USD,4259.66,4259.66,OPEN,PARTIAL
ORA-I012-03,ORA-C012,INV-201203,2026-04-16,2026-06-15,USD,4618.7,4618.7,OPEN,OVERPAYMENT
ORA-I012-04,ORA-C012,INV-201204,2026-04-27,2026-06-26,USD,4540.39,4540.39,OPEN,ONE_PAYMENT_MULTI_INVOICE
ORA-I012-05,ORA-C012,INV-201205,2026-05-02,2026-07-01,USD,4822.95,4822.95,OPEN,MULTI_PAYMENT_ONE_INVOICE
ORA-I012-06,ORA-C012,INV-201206,2026-05-17,2026-07-16,USD,4791.35,4791.35,OPEN,MISSING_REMITTANCE
ORA-I012-07,ORA-C012,INV-201207,2026-05-24,2026-07-23,EUR,5230.75,5230.75,OPEN,CURRENCY_TOLERANCE
ORA-I012-08,ORA-C012,INV-201208,2026-06-01,2026-07-31,USD,5769.04,5769.04,OPEN,SHORT_PAY_DEDUCTION
ORA-I012-09,ORA-C012,INV-201209,2026-06-08,2026-08-07,USD,5481.47,5481.47,OPEN,UNMATCHED_CASH
ORA-I012-10,ORA-C012,INV-201210,2026-06-18,2026-08-17,USD,6136.83,6136.83,OPEN,OPEN_PAST_DUE
ORA-I012-11,ORA-C012,INV-201211,2026-07-01,2026-08-30,USD,6200.16,6200.16,OPEN,BROKEN_PROMISE
ORA-I012-12,ORA-C012,INV-201212,2026-07-07,2026-09-05,USD,6440.51,6440.51,OPEN,EXACT
ORA-I013-01,ORA-C013,INV-201301,2026-03-31,2026-05-30,USD,4153.99,4153.99,OPEN,EXACT
ORA-I013-02,ORA-C013,INV-201302,2026-04-11,2026-06-10,USD,4681.11,4681.11,OPEN,PARTIAL
ORA-I013-03,ORA-C013,INV-201303,2026-04-16,2026-06-15,USD,4479.95,4479.95,OPEN,OVERPAYMENT
ORA-I013-04,ORA-C013,INV-201304,2026-04-28,2026-06-27,USD,4484.91,4484.91,OPEN,ONE_PAYMENT_MULTI_INVOICE
ORA-I013-05,ORA-C013,INV-201305,2026-05-04,2026-07-03,USD,4789.88,4789.88,OPEN,MULTI_PAYMENT_ONE_INVOICE
ORA-I013-06,ORA-C013,INV-201306,2026-05-14,2026-07-13,USD,5105.94,5105.94,OPEN,MISSING_REMITTANCE
ORA-I013-07,ORA-C013,INV-201307,2026-05-23,2026-07-22,EUR,5540.72,5540.72,OPEN,CURRENCY_TOLERANCE
ORA-I013-08,ORA-C013,INV-201308,2026-06-01,2026-07-31,USD,5936.29,5936.29,OPEN,SHORT_PAY_DEDUCTION
ORA-I013-09,ORA-C013,INV-201309,2026-06-12,2026-08-11,USD,5976.81,5976.81,OPEN,UNMATCHED_CASH
ORA-I013-10,ORA-C013,INV-201310,2026-06-21,2026-08-20,USD,6179.25,6179.25,OPEN,OPEN_PAST_DUE
ORA-I013-11,ORA-C013,INV-201311,2026-06-28,2026-08-27,USD,5928.73,5928.73,OPEN,BROKEN_PROMISE
ORA-I013-12,ORA-C013,INV-201312,2026-07-05,2026-09-03,USD,6354.89,6354.89,OPEN,EXACT
ORA-I014-01,ORA-C014,INV-201401,2026-03-31,2026-05-30,USD,4458.92,4458.92,OPEN,EXACT
ORA-I014-02,ORA-C014,INV-201402,2026-04-09,2026-06-08,USD,4711.95,4711.95,OPEN,PARTIAL
ORA-I014-03,ORA-C014,INV-201403,2026-04-20,2026-06-19,USD,4585.52,4585.52,OPEN,OVERPAYMENT
ORA-I014-04,ORA-C014,INV-201404,2026-04-28,2026-06-27,USD,4978.63,4978.63,OPEN,ONE_PAYMENT_MULTI_INVOICE
ORA-I014-05,ORA-C014,INV-201405,2026-05-08,2026-07-07,USD,4981.74,4981.74,OPEN,MULTI_PAYMENT_ONE_INVOICE
ORA-I014-06,ORA-C014,INV-201406,2026-05-16,2026-07-15,USD,5420.75,5420.75,OPEN,MISSING_REMITTANCE
ORA-I014-07,ORA-C014,INV-201407,2026-05-26,2026-07-25,EUR,5249.03,5249.03,OPEN,CURRENCY_TOLERANCE
ORA-I014-08,ORA-C014,INV-201408,2026-05-30,2026-07-29,USD,5874.53,5874.53,OPEN,SHORT_PAY_DEDUCTION
ORA-I014-09,ORA-C014,INV-201409,2026-06-08,2026-08-07,USD,5842.99,5842.99,OPEN,UNMATCHED_CASH
ORA-I014-10,ORA-C014,INV-201410,2026-06-19,2026-08-18,USD,6271.28,6271.28,OPEN,OPEN_PAST_DUE
ORA-I014-11,ORA-C014,INV-201411,2026-06-30,2026-08-29,USD,6093.55,6093.55,OPEN,BROKEN_PROMISE
ORA-I014-12,ORA-C014,INV-201412,2026-07-06,2026-09-04,USD,6675.46,6675.46,OPEN,EXACT
ORA-I015-01,ORA-C015,INV-201501,2026-03-31,2026-04-30,USD,4410.0,4410.0,OPEN,EXACT
ORA-I015-02,ORA-C015,INV-201502,2026-04-07,2026-05-07,USD,4388.53,4388.53,OPEN,PARTIAL
ORA-I015-03,ORA-C015,INV-201503,2026-04-15,2026-05-15,USD,4574.76,4574.76,OPEN,OVERPAYMENT
ORA-I015-04,ORA-C015,INV-201504,2026-04-23,2026-05-23,USD,4730.55,4730.55,OPEN,ONE_PAYMENT_MULTI_INVOICE
ORA-I015-05,ORA-C015,INV-201505,2026-05-02,2026-06-01,USD,5600.61,5600.61,OPEN,MULTI_PAYMENT_ONE_INVOICE
ORA-I015-06,ORA-C015,INV-201506,2026-05-12,2026-06-11,USD,5313.87,5313.87,OPEN,MISSING_REMITTANCE
ORA-I015-07,ORA-C015,INV-201507,2026-05-23,2026-06-22,EUR,5484.66,5484.66,OPEN,CURRENCY_TOLERANCE
ORA-I015-08,ORA-C015,INV-201508,2026-06-04,2026-07-04,USD,5936.63,5936.63,OPEN,SHORT_PAY_DEDUCTION
ORA-I015-09,ORA-C015,INV-201509,2026-06-10,2026-07-10,USD,5947.88,5947.88,OPEN,UNMATCHED_CASH
ORA-I015-10,ORA-C015,INV-201510,2026-06-22,2026-07-22,USD,6556.6,6556.6,OPEN,OPEN_PAST_DUE
ORA-I015-11,ORA-C015,INV-201511,2026-06-28,2026-07-28,USD,6184.25,6184.25,OPEN,BROKEN_PROMISE
ORA-I015-12,ORA-C015,INV-201512,2026-07-08,2026-08-07,USD,6401.67,6401.67,OPEN,EXACT
ORA-I016-01,ORA-C016,INV-201601,2026-04-02,2026-06-01,USD,4360.93,4360.93,OPEN,EXACT
ORA-I016-02,ORA-C016,INV-201602,2026-04-06,2026-06-05,USD,4619.07,4619.07,OPEN,PARTIAL
ORA-I016-03,ORA-C016,INV-201603,2026-04-15,2026-06-14,USD,5181.12,5181.12,OPEN,OVERPAYMENT
ORA-I016-04,ORA-C016,INV-201604,2026-04-23,2026-06-22,USD,4928.41,4928.41,OPEN,ONE_PAYMENT_MULTI_INVOICE
ORA-I016-05,ORA-C016,INV-201605,2026-05-03,2026-07-02,USD,5218.0,5218.0,OPEN,MULTI_PAYMENT_ONE_INVOICE
ORA-I016-06,ORA-C016,INV-201606,2026-05-14,2026-07-13,USD,5502.62,5502.62,OPEN,MISSING_REMITTANCE
ORA-I016-07,ORA-C016,INV-201607,2026-05-26,2026-07-25,EUR,5706.17,5706.17,OPEN,CURRENCY_TOLERANCE
ORA-I016-08,ORA-C016,INV-201608,2026-05-29,2026-07-28,USD,5935.78,5935.78,OPEN,SHORT_PAY_DEDUCTION
ORA-I016-09,ORA-C016,INV-201609,2026-06-09,2026-08-08,USD,6271.31,6271.31,OPEN,UNMATCHED_CASH
ORA-I016-10,ORA-C016,INV-201610,2026-06-22,2026-08-21,USD,6287.89,6287.89,OPEN,OPEN_PAST_DUE
ORA-I016-11,ORA-C016,INV-201611,2026-06-25,2026-08-24,USD,6943.57,6943.57,OPEN,BROKEN_PROMISE
ORA-I016-12,ORA-C016,INV-201612,2026-07-04,2026-09-02,USD,7007.98,7007.98,OPEN,EXACT
ORA-I017-01,ORA-C017,INV-201701,2026-03-28,2026-04-27,USD,4588.06,4588.06,OPEN,EXACT
ORA-I017-02,ORA-C017,INV-201702,2026-04-06,2026-05-06,USD,4967.02,4967.02,OPEN,PARTIAL
ORA-I017-03,ORA-C017,INV-201703,2026-04-15,2026-05-15,USD,4884.42,4884.42,OPEN,OVERPAYMENT
ORA-I017-04,ORA-C017,INV-201704,2026-04-25,2026-05-25,USD,5292.33,5292.33,OPEN,ONE_PAYMENT_MULTI_INVOICE
ORA-I017-05,ORA-C017,INV-201705,2026-05-08,2026-06-07,USD,5477.31,5477.31,OPEN,MULTI_PAYMENT_ONE_INVOICE
ORA-I017-06,ORA-C017,INV-201706,2026-05-15,2026-06-14,USD,5823.09,5823.09,OPEN,MISSING_REMITTANCE
ORA-I017-07,ORA-C017,INV-201707,2026-05-20,2026-06-19,EUR,6249.83,6249.83,OPEN,CURRENCY_TOLERANCE
ORA-I017-08,ORA-C017,INV-201708,2026-05-29,2026-06-28,USD,6494.74,6494.74,OPEN,SHORT_PAY_DEDUCTION
ORA-I017-09,ORA-C017,INV-201709,2026-06-11,2026-07-11,USD,6313.69,6313.69,OPEN,UNMATCHED_CASH
ORA-I017-10,ORA-C017,INV-201710,2026-06-16,2026-07-16,USD,6781.54,6781.54,OPEN,OPEN_PAST_DUE
ORA-I017-11,ORA-C017,INV-201711,2026-07-01,2026-07-31,USD,6463.36,6463.36,OPEN,BROKEN_PROMISE
ORA-I017-12,ORA-C017,INV-201712,2026-07-07,2026-08-06,USD,7182.97,7182.97,OPEN,EXACT
ORA-I018-01,ORA-C018,INV-201801,2026-03-29,2026-05-28,USD,4723.2,4723.2,OPEN,EXACT
