invoice_id,invoice_number,customer_id,customer_name,open_balance_usd,days_past_due,broken_promise,active_deduction,credit_risk,priority_score,priority,route_to
SAP-I017-10,INV-101710,SAP-C017,Synthetic Customer 1-017,6763.32,9,False,False,HIGH,39.8,MEDIUM,Collections Specialist
SAP-I018-07,INV-101807,SAP-C018,Synthetic Customer 1-018,6622.73,24,False,False,MEDIUM,39.6,MEDIUM,Collections Specialist
NET-I006-02,INV-300602,NET-C006,Synthetic Customer 3-006,1415.1,82,False,False,HIGH,39.6,MEDIUM,Collections Specialist
NET-I006-07,INV-300607,NET-C006,Synthetic Customer 3-006,4631.91,36,False,False,HIGH,39.1,MEDIUM,Collections Specialist
ORA-I017-02,INV-201702,ORA-C017,Synthetic Customer 2-017,1986.81,86,False,False,MEDIUM,39.1,MEDIUM,Collections Specialist
SAP-I012-07,INV-101207,SAP-C012,Synthetic Customer 1-012,5550.6,23,False,False,HIGH,39.0,MEDIUM,Collections Specialist
SAP-I013-07,INV-101307,SAP-C013,Synthetic Customer 1-013,6287.88,26,False,False,MEDIUM,38.9,MEDIUM,Collections Specialist
SAP-I011-07,INV-101107,SAP-C011,Synthetic Customer 1-011,5281.49,39,False,False,MEDIUM,38.6,MEDIUM,Collections Specialist
NET-I017-02,INV-301702,NET-C017,Synthetic Customer 3-017,1848.2,86,False,False,MEDIUM,38.5,MEDIUM,Collections Specialist
NET-I015-07,INV-301507,NET-C015,Synthetic Customer 3-015,6552.56,7,False,False,HIGH,38.4,MEDIUM,Collections Specialist
ORA-I006-07,INV-200607,ORA-C006,Synthetic Customer 2-006,5121.35,40,False,False,MEDIUM,38.3,MEDIUM,Collections Specialist
SAP-I004-02,INV-100402,SAP-C004,Synthetic Customer 1-004,1150.8,81,False,False,HIGH,38.3,MEDIUM,Collections Specialist
NET-I011-02,INV-301102,NET-C011,Synthetic Customer 3-011,1749.5,86,False,False,MEDIUM,38.1,MEDIUM,Collections Specialist
NET-I002-02,INV-300202,NET-C002,Synthetic Customer 3-002,1044.82,82,False,False,HIGH,38.1,MEDIUM,Collections Specialist
SAP-I011-02,INV-101102,SAP-C011,Synthetic Customer 1-011,1648.37,87,False,False,MEDIUM,38.0,MEDIUM,Collections Specialist
ORA-I015-02,INV-201502,ORA-C015,Synthetic Customer 2-015,1755.41,85,False,False,MEDIUM,37.9,MEDIUM,Collections Specialist
NET-I008-07,INV-300807,NET-C008,Synthetic Customer 3-008,4993.34,40,False,False,MEDIUM,37.8,MEDIUM,Collections Specialist
NET-I002-07,INV-300207,NET-C002,Synthetic Customer 3-002,4074.64,39,False,False,HIGH,37.8,MEDIUM,Collections Specialist
ORA-I017-10,INV-201710,ORA-C017,Synthetic Customer 2-017,6781.54,15,False,False,MEDIUM,37.7,MEDIUM,Collections Specialist
SAP-I016-12,INV-101612,SAP-C016,Synthetic Customer 1-016,6865.76,0,False,False,HIGH,37.6,MEDIUM,Collections Specialist
SAP-I016-07,INV-101607,SAP-C016,Synthetic Customer 1-016,6245.83,8,False,False,HIGH,37.5,MEDIUM,Collections Specialist
SAP-I012-02,INV-101202,SAP-C012,Synthetic Customer 1-012,1624.56,72,False,False,HIGH,37.5,MEDIUM,Collections Specialist
SAP-I017-12,INV-101712,SAP-C017,Synthetic Customer 1-017,6817.96,0,False,False,HIGH,37.4,MEDIUM,Collections Specialist
SAP-I014-02,INV-101402,SAP-C014,Synthetic Customer 1-014,1844.38,82,False,False,MEDIUM,37.3,MEDIUM,Collections Specialist
ORA-I018-07,INV-201807,ORA-C018,Synthetic Customer 2-018,6942.1,11,False,False,MEDIUM,37.1,MEDIUM,Collections Specialist
ORA-I010-02,INV-201002,ORA-C010,Synthetic Customer 2-010,1578.77,85,False,False,MEDIUM,37.1,MEDIUM,Collections Specialist
NET-I010-02,INV-301002,NET-C010,Synthetic Customer 3-010,1520.29,85,False,False,MEDIUM,36.9,MEDIUM,Collections Specialist
NET-I013-07,INV-301307,NET-C013,Synthetic Customer 3-013,5986.35,9,False,False,HIGH,36.7,MEDIUM,Collections Specialist
SAP-I016-10,INV-101610,SAP-C016,Synthetic Customer 1-016,6616.24,0,False,False,HIGH,36.6,MEDIUM,Collections Specialist
SAP-I005-02,INV-100502,SAP-C005,Synthetic Customer 1-005,1419.98,85,False,False,MEDIUM,36.5,MEDIUM,Collections Specialist
NET-I015-12,INV-301512,NET-C015,Synthetic Customer 3-015,6571.13,0,False,False,HIGH,36.4,MEDIUM,Collections Specialist
NET-I015-10,INV-301510,NET-C015,Synthetic Customer 3-015,6513.24,0,False,False,HIGH,36.2,MEDIUM,Collections Specialist
ORA-I009-02,INV-200902,ORA-C009,Synthetic Customer 2-009,1619.38,67,False,False,HIGH,36.1,MEDIUM,Collections Specialist
ORA-I018-12,INV-201812,ORA-C018,Synthetic Customer 2-018,7458.37,0,False,False,MEDIUM,36.0,MEDIUM,Collections Specialist
NET-I008-02,INV-300802,NET-C008,Synthetic Customer 3-008,1578.0,81,False,False,MEDIUM,36.0,MEDIUM,Collections Specialist
SAP-I010-07,INV-101007,SAP-C010,Synthetic Customer 1-010,5705.46,23,False,False,MEDIUM,35.7,MEDIUM,Collections Specialist
ORA-I003-07,INV-200307,ORA-C003,Synthetic Customer 2-003,4783.81,22,False,False,HIGH,35.7,MEDIUM,Collections Specialist
SAP-I009-07,INV-100907,SAP-C009,Synthetic Customer 1-009,5639.26,23,False,False,MEDIUM,35.4,MEDIUM,Collections Specialist
NET-I001-02,INV-300102,NET-C001,Synthetic Customer 3-001,1061.57,86,False,False,MEDIUM,35.4,MEDIUM,Collections Specialist
SAP-I018-12,INV-101812,SAP-C018,Synthetic Customer 1-018,7276.98,0,False,False,MEDIUM,35.3,MEDIUM,Collections Specialist
NET-I013-12,INV-301312,NET-C013,Synthetic Customer 3-013,6292.22,0,False,False,HIGH,35.3,MEDIUM,Collections Specialist
NET-I003-02,INV-300302,NET-C003,Synthetic Customer 3-003,1325.02,68,False,False,HIGH,35.2,MEDIUM,Collections Specialist
SAP-I018-02,INV-101802,SAP-C018,Synthetic Customer 1-018,2076.34,71,False,False,MEDIUM,35.1,MEDIUM,Collections Specialist
ORA-I015-10,INV-201510,ORA-C015,Synthetic Customer 2-015,6556.6,9,False,False,MEDIUM,35.0,MEDIUM,Collections Specialist
NET-I018-02,INV-301802,NET-C018,Synthetic Customer 3-018,2123.97,84,False,False,LOW,35.0,MEDIUM,Collections Specialist
ORA-I017-12,INV-201712,ORA-C017,Synthetic Customer 2-017,7182.97,0,False,False,MEDIUM,34.9,MEDIUM,Collections Specialist
NET-I009-10,INV-300910,NET-C009,Synthetic Customer 3-009,5541.89,9,False,False,HIGH,34.9,MEDIUM,Collections Specialist
NET-I017-10,INV-301710,NET-C017,Synthetic Customer 3-017,6492.29,9,False,False,MEDIUM,34.7,MEDIUM,Collections Specialist
NET-I006-10,INV-300610,NET-C006,Synthetic Customer 3-006,5351.53,11,False,False,HIGH,34.7,MEDIUM,Collections Specialist
SAP-I002-02,INV-100202,SAP-C002,Synthetic Customer 1-002,1270.87,81,False,False,MEDIUM,34.7,MEDIUM,Collections Specialist
ORA-I003-02,INV-200302,ORA-C003,Synthetic Customer 2-003,1211.53,68,False,False,HIGH,34.7,MEDIUM,Collections Specialist
SAP-I012-10,INV-101210,SAP-C012,Synthetic Customer 1-012,6104.5,0,False,False,HIGH,34.6,MEDIUM,Collections Specialist
ORA-I011-07,INV-201107,ORA-C011,Synthetic Customer 2-011,5367.22,24,False,False,MEDIUM,34.6,MEDIUM,Collections Specialist
ORA-I006-02,INV-200602,ORA-C006,Synthetic Customer 2-006,1242.27,81,False,False,MEDIUM,34.6,MEDIUM,Collections Specialist
NET-I014-07,INV-301407,NET-C014,Synthetic Customer 3-014,6351.25,10,False,False,MEDIUM,34.5,MEDIUM,Collections Specialist
SAP-I008-07,INV-100807,SAP-C008,Synthetic Customer 1-008,5219.27,12,False,False,HIGH,34.5,MEDIUM,Collections Specialist
SAP-I005-07,INV-100507,SAP-C005,Synthetic Customer 1-005,4402.81,37,False,False,MEDIUM,34.5,MEDIUM,Collections Specialist
ORA-I004-07,INV-200407,ORA-C004,Synthetic Customer 2-004,4328.18,38,False,False,MEDIUM,34.5,MEDIUM,Collections Specialist
SAP-I012-12,INV-101212,SAP-C012,Synthetic Customer 1-012,6056.95,0,False,False,HIGH,34.4,MEDIUM,Collections Specialist
ORA-I004-02,INV-200402,ORA-C004,Synthetic Customer 2-004,1175.73,81,False,False,MEDIUM,34.4,MEDIUM,Collections Specialist
ORA-I016-12,INV-201612,ORA-C016,Synthetic Customer 2-016,7007.98,0,False,False,MEDIUM,34.2,MEDIUM,Collections Specialist
SAP-I013-02,INV-101302,SAP-C013,Synthetic Customer 1-013,1853.21,71,False,False,MEDIUM,34.2,MEDIUM,Collections Specialist
SAP-I014-10,INV-101410,SAP-C014,Synthetic Customer 1-014,6107.76,12,False,False,MEDIUM,34.1,MEDIUM,Collections Specialist
SAP-I011-10,INV-101110,SAP-C011,Synthetic Customer 1-011,5885.93,15,False,False,MEDIUM,34.1,MEDIUM,Collections Specialist
NET-I001-07,INV-300107,NET-C001,Synthetic Customer 3-001,4022.36,41,False,False,MEDIUM,34.1,MEDIUM,Collections Specialist
SAP-I002-07,INV-100207,SAP-C002,Synthetic Customer 1-002,3959.66,41,False,False,MEDIUM,33.9,MEDIUM,Collections Specialist
ORA-I008-07,INV-200807,ORA-C008,Synthetic Customer 2-008,5140.15,38,False,False,LOW,33.8,MEDIUM,Collections Specialist
SAP-I004-10,INV-100410,SAP-C004,Synthetic Customer 1-004,4983.61,13,False,False,HIGH,33.8,MEDIUM,Collections Specialist
SAP-I014-12,INV-101412,SAP-C014,Synthetic Customer 1-014,6874.86,0,False,False,MEDIUM,33.7,MEDIUM,Collections Specialist
SAP-I015-07,INV-101507,SAP-C015,Synthetic Customer 1-015,6078.73,11,False,False,MEDIUM,33.7,MEDIUM,Collections Specialist
ORA-I009-12,INV-200912,ORA-C009,Synthetic Customer 2-009,5880.17,0,False,False,HIGH,33.7,MEDIUM,Collections Specialist
SAP-I009-02,INV-100902,SAP-C009,Synthetic Customer 1-009,1644.0,72,False,False,MEDIUM,33.6,MEDIUM,Collections Specialist
NET-I013-02,INV-301302,NET-C013,Synthetic Customer 3-013,1709.18,57,False,False,HIGH,33.5,MEDIUM,Collections Specialist
NET-I017-12,INV-301712,NET-C017,Synthetic Customer 3-017,6816.58,0,False,False,MEDIUM,33.4,MEDIUM,Collections Specialist
NET-I013-10,INV-301310,NET-C013,Synthetic Customer 3-013,5802.76,0,False,False,HIGH,33.3,MEDIUM,Collections Specialist
SAP-I016-02,INV-101602,SAP-C016,Synthetic Customer 1-016,1874.65,54,False,False,HIGH,33.3,MEDIUM,Collections Specialist
NET-I014-12,INV-301412,NET-C014,Synthetic Customer 3-014,6763.37,0,False,False,MEDIUM,33.2,MEDIUM,Collections Specialist
NET-I016-12,INV-301612,NET-C016,Synthetic Customer 3-016,6749.43,0,False,False,MEDIUM,33.1,MEDIUM,Collections Specialist
ORA-I013-07,INV-201307,ORA-C013,Synthetic Customer 2-013,6094.79,9,False,False,MEDIUM,33.1,MEDIUM,Collections Specialist
SAP-I010-02,INV-101002,SAP-C010,Synthetic Customer 1-010,1510.72,72,False,False,MEDIUM,33.1,MEDIUM,Collections Specialist
ORA-I018-10,INV-201810,ORA-C018,Synthetic Customer 2-018,6722.09,0,False,False,MEDIUM,33.0,MEDIUM,Collections Specialist
ORA-I016-07,INV-201607,ORA-C016,Synthetic Customer 2-016,6276.79,6,False,False,MEDIUM,33.0,MEDIUM,Collections Specialist
NET-I016-07,INV-301607,NET-C016,Synthetic Customer 3-016,6205.62,7,False,False,MEDIUM,33.0,MEDIUM,Collections Specialist
ORA-I014-12,INV-201412,ORA-C014,Synthetic Customer 2-014,6675.46,0,False,False,MEDIUM,32.9,MEDIUM,Collections Specialist
NET-I011-10,INV-301110,NET-C011,Synthetic Customer 3-011,5783.64,12,False,False,MEDIUM,32.8,MEDIUM,Collections Specialist
NET-I009-12,INV-300912,NET-C009,Synthetic Customer 3-009,5679.75,0,False,False,HIGH,32.8,MEDIUM,Collections Specialist
NET-I016-10,INV-301610,NET-C016,Synthetic Customer 3-016,6641.71,0,False,False,MEDIUM,32.7,MEDIUM,Collections Specialist
NET-I002-10,INV-300210,NET-C002,Synthetic Customer 3-002,4780.76,12,False,False,HIGH,32.7,MEDIUM,Collections Specialist
SAP-I015-12,INV-101512,SAP-C015,Synthetic Customer 1-015,6610.8,0,False,False,MEDIUM,32.6,MEDIUM,Collections Specialist
ORA-I009-10,INV-200910,ORA-C009,Synthetic Customer 2-009,5613.65,0,False,False,HIGH,32.6,MEDIUM,Collections Specialist
NET-I003-07,INV-300307,NET-C003,Synthetic Customer 3-003,4099.01,21,False,False,HIGH,32.6,MEDIUM,Collections Specialist
NET-I010-10,INV-301010,NET-C010,Synthetic Customer 3-010,5856.8,10,False,False,MEDIUM,32.5,MEDIUM,Collections Specialist
SAP-I006-07,INV-100607,SAP-C006,Synthetic Customer 1-006,5170.81,6,False,False,HIGH,32.5,MEDIUM,Collections Specialist
NET-I012-07,INV-301207,NET-C012,Synthetic Customer 3-012,5897.31,23,False,False,LOW,32.4,MEDIUM,Collections Specialist
SAP-I006-12,INV-100612,SAP-C006,Synthetic Customer 1-006,5557.35,0,False,False,HIGH,32.4,MEDIUM,Collections Specialist
ORA-I011-02,INV-201102,ORA-C011,Synthetic Customer 2-011,1572.46,69,False,False,MEDIUM,32.4,MEDIUM,Collections Specialist
SAP-I018-10,INV-101810,SAP-C018,Synthetic Customer 1-018,6545.99,0,False,False,MEDIUM,32.3,MEDIUM,Collections Specialist
ORA-I008-02,INV-200802,ORA-C008,Synthetic Customer 2-008,1509.19,83,False,False,LOW,32.3,MEDIUM,Collections Specialist
ORA-I010-10,INV-201010,ORA-C010,Synthetic Customer 2-010,5704.55,11,False,False,MEDIUM,32.2,MEDIUM,Collections Specialist
NET-I005-12,INV-300512,NET-C005,Synthetic Customer 3-005,5525.65,0,False,False,HIGH,32.2,MEDIUM,Collections Specialist
SAP-I008-12,INV-100812,SAP-C008,Synthetic Customer 1-008,5511.92,0,False,False,HIGH,32.2,MEDIUM,Collections Specialist
NET-I018-10,INV-301810,NET-C018,Synthetic Customer 3-018,6809.86,9,False,False,LOW,32.0,MEDIUM,Collections Specialist
ORA-I012-12,INV-201212,ORA-C012,Synthetic Customer 2-012,6440.51,0,False,False,MEDIUM,31.9,MEDIUM,Collections Specialist
NET-I015-02,INV-301502,NET-C015,Synthetic Customer 3-015,1756.21,51,False,False,HIGH,31.9,MEDIUM,Collections Specialist
NET-I014-10,INV-301410,NET-C014,Synthetic Customer 3-014,6425.08,0,False,False,MEDIUM,31.8,MEDIUM,Collections Specialist
SAP-I008-10,INV-100810,SAP-C008,Synthetic Customer 1-008,5422.52,0,False,False,HIGH,31.8,MEDIUM,Collections Specialist
NET-I018-12,INV-301812,NET-C018,Synthetic Customer 3-018,7392.49,0,False,False,LOW,31.7,MEDIUM,Collections Specialist
ORA-I015-12,INV-201512,ORA-C015,Synthetic Customer 2-015,6401.67,0,False,False,MEDIUM,31.7,MEDIUM,Collections Specialist
SAP-I010-12,INV-101012,SAP-C010,Synthetic Customer 1-010,6363.54,0,False,False,MEDIUM,31.6,MEDIUM,Collections Specialist
ORA-I013-12,INV-201312,ORA-C013,Synthetic Customer 2-013,6354.89,0,False,False,MEDIUM,31.6,MEDIUM,Collections Specialist
SAP-I008-02,INV-100802,SAP-C008,Synthetic Customer 1-008,1598.44,52,False,False,HIGH,31.6,MEDIUM,Collections Specialist
ORA-I012-07,INV-201207,ORA-C012,Synthetic Customer 2-012,5753.83,8,False,False,MEDIUM,31.5,MEDIUM,Collections Specialist
ORA-I016-10,INV-201610,ORA-C016,Synthetic Customer 2-016,6287.89,0,False,False,MEDIUM,31.3,MEDIUM,Collections Specialist
SAP-I003-02,INV-100302,SAP-C003,Synthetic Customer 1-003,1245.88,56,False,False,HIGH,31.3,MEDIUM,Collections Specialist
ORA-I014-10,INV-201410,ORA-C014,Synthetic Customer 2-014,6271.28,0,False,False,MEDIUM,31.2,MEDIUM,Collections Specialist
SAP-I013-12,INV-101312,SAP-C013,Synthetic Customer 1-013,6260.13,0,False,False,MEDIUM,31.2,MEDIUM,Collections Specialist
NET-I006-12,INV-300612,NET-C006,Synthetic Customer 3-006,5235.79,0,False,False,HIGH,31.1,MEDIUM,Collections Specialist
ORA-I014-07,INV-201407,ORA-C014,Synthetic Customer 2-014,5773.93,6,False,False,MEDIUM,31.0,MEDIUM,Collections Specialist
NET-I008-10,INV-300810,NET-C008,Synthetic Customer 3-008,5275.51,13,False,False,MEDIUM,31.0,MEDIUM,Collections Specialist
ORA-I013-10,INV-201310,ORA-C013,Synthetic Customer 2-013,6179.25,0,False,False,MEDIUM,30.9,MEDIUM,Collections Specialist
ORA-I002-07,INV-200207,ORA-C002,Synthetic Customer 2-002,4449.73,24,False,False,MEDIUM,30.9,MEDIUM,Collections Specialist
NET-I004-02,INV-300402,NET-C004,Synthetic Customer 3-004,1318.29,81,False,False,LOW,30.9,MEDIUM,Collections Specialist
ORA-I018-02,INV-201802,ORA-C018,Synthetic Customer 2-018,2043.51,57,False,False,MEDIUM,30.8,MEDIUM,Collections Specialist
ORA-I012-10,INV-201210,ORA-C012,Synthetic Customer 2-012,6136.83,0,False,False,MEDIUM,30.7,MEDIUM,Collections Specialist
NET-I005-10,INV-300510,NET-C005,Synthetic Customer 3-005,5129.56,0,False,False,HIGH,30.6,MEDIUM,Collections Specialist
SAP-I006-10,INV-100610,SAP-C006,Synthetic Customer 1-006,5109.46,0,False,False,HIGH,30.6,MEDIUM,Collections Specialist
NET-I004-07,INV-300407,NET-C004,Synthetic Customer 3-004,4217.38,40,False,False,LOW,30.6,MEDIUM,Collections Specialist
NET-I005-02,INV-300502,NET-C005,Synthetic Customer 3-005,1280.1,53,False,False,HIGH,30.6,MEDIUM,Collections Specialist
SAP-I004-12,INV-100412,SAP-C004,Synthetic Customer 1-004,5085.45,0,False,False,HIGH,30.5,MEDIUM,Collections Specialist
