payment_id,invoice_id,applied_amount_usd,method
SAP-P010-07,SAP-I010-08,5543.86,OVERPAYMENT_APPLY
NET-P009-06,NET-I009-06,4966.68,AMOUNT_INFERENCE
NET-P013-03,NET-I013-03,4714.87,OVERPAYMENT_APPLY
NET-P017-03,NET-I017-03,5241.37,OVERPAYMENT_APPLY
NET-P018-05A,NET-I018-06,2787.02,PARTIAL_REFERENCE
ORA-P004-05A,ORA-I004-06,1646.64,REFERENCE
ORA-P007-08,ORA-I007-09,4864.7,DEDUCTION_SUPPORTED_SHORT_PAY
ORA-P008-01,ORA-I008-01,3258.36,REFERENCE
ORA-P009-01,ORA-I009-01,3458.43,REFERENCE
ORA-P010-02,ORA-I010-02,2368.16,PARTIAL_REFERENCE
ORA-P016-03,ORA-I016-03,5181.12,OVERPAYMENT_APPLY
ORA-P018-04,ORA-I018-04,5386.21,ONE_TO_MANY_REMITTANCE
ORA-P018-04,ORA-I018-05,5760.68,ONE_TO_MANY_REMITTANCE
SAP-P001-04,SAP-I001-04,3194.34,ONE_TO_MANY_REMITTANCE
SAP-P001-04,SAP-I001-05,3012.86,ONE_TO_MANY_REMITTANCE
SAP-P002-05B,SAP-I002-06,2059.28,PARTIAL_REFERENCE
SAP-P003-01,SAP-I003-01,3114.67,REFERENCE
SAP-P003-05B,SAP-I003-06,2222.29,REFERENCE
SAP-P004-04,SAP-I004-04,3609.49,ONE_TO_MANY_REMITTANCE
SAP-P004-04,SAP-I004-05,3670.13,ONE_TO_MANY_REMITTANCE
SAP-P005-04,SAP-I005-04,3407.31,ONE_TO_MANY_REMITTANCE
SAP-P005-04,SAP-I005-05,4155.11,ONE_TO_MANY_REMITTANCE
SAP-P007-08,SAP-I007-09,4593.41,DEDUCTION_SUPPORTED_SHORT_PAY
SAP-P009-05B,SAP-I009-06,2466.55,PARTIAL_REFERENCE
SAP-P012-02,SAP-I012-02,2436.83,PARTIAL_REFERENCE
SAP-P016-01,SAP-I016-01,4347.78,REFERENCE
NET-P005-03,NET-I005-03,3721.11,OVERPAYMENT_APPLY
NET-P007-04,NET-I007-04,4016.05,ONE_TO_MANY_REMITTANCE
NET-P007-04,NET-I007-05,4260.06,ONE_TO_MANY_REMITTANCE
NET-P007-07,NET-I007-08,4642.42,OVERPAYMENT_APPLY
NET-P007-08,NET-I007-09,5218.3,DEDUCTION_SUPPORTED_SHORT_PAY
NET-P008-05B,NET-I008-06,2654.45,PARTIAL_REFERENCE
NET-P009-05B,NET-I009-06,9.17,OVERPAYMENT_APPLY
NET-P012-02,NET-I012-02,2539.58,PARTIAL_REFERENCE
NET-P014-03,NET-I014-03,4854.32,OVERPAYMENT_APPLY
NET-P015-01,NET-I015-01,4443.63,REFERENCE
NET-P017-02,NET-I017-02,2772.3,PARTIAL_REFERENCE
ORA-P002-03,ORA-I002-03,3191.51,OVERPAYMENT_APPLY
ORA-P002-04,ORA-I002-04,3278.31,ONE_TO_MANY_REMITTANCE
ORA-P002-04,ORA-I002-05,3216.18,ONE_TO_MANY_REMITTANCE
ORA-P002-08,ORA-I002-09,4017.9,DEDUCTION_SUPPORTED_SHORT_PAY
ORA-P003-01,ORA-I003-01,2624.26,REFERENCE
ORA-P004-04,ORA-I004-04,3493.72,ONE_TO_MANY_REMITTANCE
ORA-P004-04,ORA-I004-05,3583.14,ONE_TO_MANY_REMITTANCE
ORA-P006-01,ORA-I006-01,3399.23,REFERENCE
ORA-P012-08,ORA-I012-09,5381.47,DEDUCTION_SUPPORTED_SHORT_PAY
ORA-P014-04,ORA-I014-04,4978.63,ONE_TO_MANY_REMITTANCE
ORA-P014-04,ORA-I014-05,4981.74,ONE_TO_MANY_REMITTANCE
ORA-P017-03,ORA-I017-03,4884.42,OVERPAYMENT_APPLY
SAP-P003-03,SAP-I003-03,3323.23,OVERPAYMENT_APPLY
SAP-P006-01,SAP-I006-01,3006.53,REFERENCE
SAP-P008-01,SAP-I008-01,3239.93,REFERENCE
SAP-P008-08,SAP-I008-09,5290.94,DEDUCTION_SUPPORTED_SHORT_PAY
SAP-P011-05A,SAP-I011-06,2313.24,PARTIAL_REFERENCE
SAP-P011-07,SAP-I011-08,5642.14,OVERPAYMENT_APPLY
SAP-P011-08,SAP-I011-09,5757.57,DEDUCTION_SUPPORTED_SHORT_PAY
SAP-P014-03,SAP-I014-03,4915.59,OVERPAYMENT_APPLY
SAP-P015-05A,SAP-I015-06,2382.33,REFERENCE
SAP-P017-04,SAP-I017-04,5202.15,ONE_TO_MANY_REMITTANCE
SAP-P017-04,SAP-I017-05,5412.79,ONE_TO_MANY_REMITTANCE
NET-P001-08,NET-I001-09,4139.06,DEDUCTION_SUPPORTED_SHORT_PAY
NET-P010-01,NET-I010-01,3704.93,REFERENCE
NET-P011-04,NET-I011-04,4216.7,ONE_TO_MANY_REMITTANCE
NET-P011-04,NET-I011-05,4692.55,ONE_TO_MANY_REMITTANCE
NET-P012-08,NET-I012-09,5395.66,DEDUCTION_SUPPORTED_SHORT_PAY
NET-P014-07,NET-I014-08,6016.98,OVERPAYMENT_APPLY
NET-P017-04,NET-I017-04,5038.51,ONE_TO_MANY_REMITTANCE
NET-P017-04,NET-I017-05,5666.33,ONE_TO_MANY_REMITTANCE
NET-P018-05B,NET-I018-06,3406.36,REFERENCE
ORA-P001-01,ORA-I001-01,2802.58,REFERENCE
ORA-P001-02,ORA-I001-02,1620.91,PARTIAL_REFERENCE
ORA-P002-01,ORA-I002-01,2576.72,REFERENCE
ORA-P006-03,ORA-I006-03,3269.76,OVERPAYMENT_APPLY
ORA-P009-05A,ORA-I009-06,2046.27,REFERENCE
ORA-P013-08,ORA-I013-09,5876.81,DEDUCTION_SUPPORTED_SHORT_PAY
ORA-P015-01,ORA-I015-01,4410.0,REFERENCE
ORA-P015-08,ORA-I015-09,5847.88,DEDUCTION_SUPPORTED_SHORT_PAY
ORA-P018-07,ORA-I018-08,6566.26,OVERPAYMENT_APPLY
SAP-P001-05B,SAP-I001-06,1851.22,PARTIAL_REFERENCE
SAP-P002-05A,SAP-I002-06,1684.87,REFERENCE
SAP-P005-07,SAP-I005-08,4835.86,OVERPAYMENT_APPLY
SAP-P006-04,SAP-I006-04,3620.15,ONE_TO_MANY_REMITTANCE
SAP-P006-04,SAP-I006-05,4172.49,ONE_TO_MANY_REMITTANCE
SAP-P007-04,SAP-I007-04,3701.13,ONE_TO_MANY_REMITTANCE
SAP-P007-04,SAP-I007-05,4008.98,ONE_TO_MANY_REMITTANCE
SAP-P011-05B,SAP-I011-06,2827.3,REFERENCE
SAP-P012-01,SAP-I012-01,4260.05,REFERENCE
SAP-P012-07,SAP-I012-08,5158.78,OVERPAYMENT_APPLY
SAP-P013-05A,SAP-I013-06,2241.58,REFERENCE
SAP-P017-05A,SAP-I017-06,2704.84,PARTIAL_REFERENCE
NET-P004-01,NET-I004-01,2562.99,REFERENCE
NET-P006-04,NET-I006-04,3954.68,ONE_TO_MANY_REMITTANCE
NET-P006-04,NET-I006-05,3790.33,ONE_TO_MANY_REMITTANCE
NET-P011-05B,NET-I011-06,2829.94,REFERENCE
NET-P013-04,NET-I013-04,5063.77,ONE_TO_MANY_REMITTANCE
NET-P013-04,NET-I013-05,5087.78,ONE_TO_MANY_REMITTANCE
NET-P015-08,NET-I015-09,5966.58,DEDUCTION_SUPPORTED_SHORT_PAY
NET-P016-03,NET-I016-03,4631.19,OVERPAYMENT_APPLY
ORA-P002-05A,ORA-I002-06,1568.12,PARTIAL_REFERENCE
ORA-P002-07,ORA-I002-08,4114.76,OVERPAYMENT_APPLY
ORA-P005-05B,ORA-I005-06,2371.29,REFERENCE
ORA-P007-05A,ORA-I007-06,2004.63,PARTIAL_REFERENCE
ORA-P007-05B,ORA-I007-06,2450.11,REFERENCE
ORA-P010-03,ORA-I010-03,4298.61,OVERPAYMENT_APPLY
ORA-P011-05A,ORA-I011-06,2208.41,REFERENCE
ORA-P012-05B,ORA-I012-06,2635.24,REFERENCE
ORA-P014-03,ORA-I014-03,4585.52,OVERPAYMENT_APPLY
ORA-P015-07,ORA-I015-08,5936.63,OVERPAYMENT_APPLY
ORA-P016-01,ORA-I016-01,4360.93,REFERENCE
ORA-P017-05A,ORA-I017-06,2620.39,REFERENCE
ORA-P017-08,ORA-I017-09,6213.69,DEDUCTION_SUPPORTED_SHORT_PAY
SAP-P001-01,SAP-I001-01,2304.25,REFERENCE
SAP-P002-02,SAP-I002-02,1906.31,PARTIAL_REFERENCE
SAP-P002-07,SAP-I002-08,3921.53,OVERPAYMENT_APPLY
SAP-P004-01,SAP-I004-01,2591.98,REFERENCE
SAP-P004-05B,SAP-I004-06,2191.41,REFERENCE
SAP-P005-03,SAP-I005-03,3344.91,OVERPAYMENT_APPLY
SAP-P013-07,SAP-I013-08,5792.69,OVERPAYMENT_APPLY
SAP-P014-04,SAP-I014-04,4579.1,ONE_TO_MANY_REMITTANCE
SAP-P014-04,SAP-I014-05,5461.76,ONE_TO_MANY_REMITTANCE
NET-P006-01,NET-I006-01,3275.16,REFERENCE
NET-P008-07,NET-I008-08,4939.05,OVERPAYMENT_APPLY
NET-P009-08,NET-I009-09,5027.51,DEDUCTION_SUPPORTED_SHORT_PAY
NET-P013-05B,NET-I013-06,2877.96,PARTIAL_REFERENCE
NET-P016-02,NET-I016-02,2903.03,PARTIAL_REFERENCE
